# This file was automatically generated by ViPErLEED v.0.1a.
# It contains the list of LEED beams generated from input file:
# E:/Work/Vienna/SPECSLab/Technical/Upgrades/Python LEED-IV/000-package/viperleed/guilib/leedsim/input examples/Ag(110)-p(1x1).tlm
#
# Structure: Ag(110)-p(1x1)
#
# Max. LEED Energy: 700.0 eV
# Bulk lattice: Rectangular (pmm); a = 4.0900 AA; b = 5.7840 AA
#        Basis: a = [4.0900 0.0000]; b = [0.0000 5.7840]
# Surface lattice: Rectangular (pmm); a = 4.0900 AA; b = 5.7840 AA
#
# Exporting beams from 1 domain(s) out of 1 symmetry-equivalent ones
# Domain 1 - Basis: a = [4.0900 0.0000]; b = [0.0000 5.7840]
#            Superlattice: [[1 0] [0 1]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(  h|  k),     h   ,     k   ,    gx   ,    gy   ,group,domain(s),
(  0|  0),  0.00000,  0.00000,  0.00000,  0.00000,    0,        1,
(  0|  1),  0.00000,  1.00000,  0.00000,  1.08630,    1,        1,
(  0| -1),  0.00000, -1.00000,  0.00000, -1.08630,    1,        1,
(  1|  0),  1.00000,  0.00000,  1.53623, -0.00000,    2,        1,
( -1|  0), -1.00000,  0.00000, -1.53623,  0.00000,    2,        1,
(  1|  1),  1.00000,  1.00000,  1.53623,  1.08630,    3,        1,
(  1| -1),  1.00000, -1.00000,  1.53623, -1.08630,    3,        1,
( -1|  1), -1.00000,  1.00000, -1.53623,  1.08630,    3,        1,
( -1| -1), -1.00000, -1.00000, -1.53623, -1.08630,    3,        1,
(  0|  2),  0.00000,  2.00000,  0.00000,  2.17261,    4,        1,
(  0| -2),  0.00000, -2.00000,  0.00000, -2.17261,    4,        1,
(  1|  2),  1.00000,  2.00000,  1.53623,  2.17261,    5,        1,
( -1|  2), -1.00000,  2.00000, -1.53623,  2.17261,    5,        1,
(  1| -2),  1.00000, -2.00000,  1.53623, -2.17261,    5,        1,
( -1| -2), -1.00000, -2.00000, -1.53623, -2.17261,    5,        1,
(  2|  0),  2.00000,  0.00000,  3.07246, -0.00000,    6,        1,
( -2|  0), -2.00000,  0.00000, -3.07246,  0.00000,    6,        1,
(  2|  1),  2.00000,  1.00000,  3.07246,  1.08630,    7,        1,
(  2| -1),  2.00000, -1.00000,  3.07246, -1.08630,    7,        1,
