# This file was automatically generated by TLEEDMAP v.0.1a.
# It contains the list of LEED beams generated from input file:
# E:/Work/Vienna/SPECSLab/Technical/Upgrades/Python LEED-IV/00 - GUI/input examples/Cu(111)-(1x1).tlm
#
# Structure: Cu(111)-(1x1)
#
# Max. LEED Energy: 700.0 eV
# Bulk lattice: Hexagonal (p3m1); a = 2.5435 AA; alpha = 120.00 deg
#        Basis: a = [2.5435 0.0000]; b = [-1.2717  2.2027]
# Surface lattice: Hexagonal (p3m1); a = 2.5435 AA; alpha = 120.00 deg
#
# Exporting beams from 1 domain(s) out of 1 symmetry-equivalent ones
# Domain 1 - Basis: a = [2.5435 0.0000]; b = [-1.2717  2.2027]
#            Superlattice: [[1 0] [0 1]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

( h| k),    h   ,    k   ,    gx   ,    gy   ,group,domain(s),
(-1| 0),-1.00000, 0.00000, -2.47029, -1.42622,    1,        1,
( 0| 1), 0.00000, 1.00000,  0.00000,  2.85245,    1,        1,
( 1|-1), 1.00000,-1.00000,  2.47029, -1.42622,    1,        1,
(-1| 1),-1.00000, 1.00000, -2.47029,  1.42622,    2,        1,
( 0|-1), 0.00000,-1.00000,  0.00000, -2.85245,    2,        1,
( 1| 0), 1.00000, 0.00000,  2.47029,  1.42622,    2,        1,
(-1|-1),-1.00000,-1.00000, -2.47029, -4.27867,    3,        1,
(-1| 2),-1.00000, 2.00000, -2.47029,  4.27867,    3,        1,
(-2| 1),-2.00000, 1.00000, -4.94058,  0.00000,    3,        1,
( 1|-2), 1.00000,-2.00000,  2.47029, -4.27867,    3,        1,
( 1| 1), 1.00000, 1.00000,  2.47029,  4.27867,    3,        1,
( 2|-1), 2.00000,-1.00000,  4.94058,  0.00000,    3,        1,
(-2| 0),-2.00000, 0.00000, -4.94058, -2.85245,    4,        1,
( 0| 2), 0.00000, 2.00000,  0.00000,  5.70489,    4,        1,
( 2|-2), 2.00000,-2.00000,  4.94058, -2.85245,    4,        1,
(-2| 2),-2.00000, 2.00000, -4.94058,  2.85245,    5,        1,
( 0|-2), 0.00000,-2.00000,  0.00000, -5.70489,    5,        1,
( 2| 0), 2.00000, 0.00000,  4.94058,  2.85245,    5,        1,
(-1|-2),-1.00000,-2.00000, -2.47029, -7.13112,    6,        1,
(-2| 3),-2.00000, 3.00000, -4.94058,  5.70489,    6,        1,
(-3| 2),-3.00000, 2.00000, -7.41087,  1.42622,    6,        1,
( 1|-3), 1.00000,-3.00000,  2.47029, -7.13112,    6,        1,
( 2| 1), 2.00000, 1.00000,  4.94058,  5.70489,    6,        1,
( 3|-1), 3.00000,-1.00000,  7.41087,  1.42622,    6,        1,
(-1| 3),-1.00000, 3.00000, -2.47029,  7.13112,    7,        1,
(-2|-1),-2.00000,-1.00000, -4.94058, -5.70489,    7,        1,
(-3| 1),-3.00000, 1.00000, -7.41087, -1.42622,    7,        1,
( 1| 2), 1.00000, 2.00000,  2.47029,  7.13112,    7,        1,
( 2|-3), 2.00000,-3.00000,  4.94058, -5.70489,    7,        1,
( 3|-2), 3.00000,-2.00000,  7.41087, -1.42622,    7,        1,
(-3| 0),-3.00000, 0.00000, -7.41087, -4.27867,    8,        1,
( 0| 3), 0.00000, 3.00000,  0.00000,  8.55734,    8,        1,
( 3|-3), 3.00000,-3.00000,  7.41087, -4.27867,    8,        1,
(-3| 3),-3.00000, 3.00000, -7.41087,  4.27867,    9,        1,
( 0|-3), 0.00000,-3.00000,  0.00000, -8.55734,    9,        1,
( 3| 0), 3.00000, 0.00000,  7.41087,  4.27867,    9,        1,
(-2|-2),-2.00000,-2.00000, -4.94058, -8.55734,   10,        1,
(-2| 4),-2.00000, 4.00000, -4.94058,  8.55734,   10,        1,
(-4| 2),-4.00000, 2.00000, -9.88116,  0.00000,   10,        1,
( 2|-4), 2.00000,-4.00000,  4.94058, -8.55734,   10,        1,
( 2| 2), 2.00000, 2.00000,  4.94058,  8.55734,   10,        1,
( 4|-2), 4.00000,-2.00000,  9.88116,  0.00000,   10,        1,
(-1|-3),-1.00000,-3.00000, -2.47029, -9.98356,   11,        1,
(-3| 4),-3.00000, 4.00000, -7.41087,  7.13112,   11,        1,
(-4| 3),-4.00000, 3.00000, -9.88116,  2.85245,   11,        1,
( 1|-4), 1.00000,-4.00000,  2.47029, -9.98356,   11,        1,
( 3| 1), 3.00000, 1.00000,  7.41087,  7.13112,   11,        1,
( 4|-1), 4.00000,-1.00000,  9.88116,  2.85245,   11,        1,
(-1| 4),-1.00000, 4.00000, -2.47029,  9.98356,   12,        1,
(-3|-1),-3.00000,-1.00000, -7.41087, -7.13112,   12,        1,
(-4| 1),-4.00000, 1.00000, -9.88116, -2.85245,   12,        1,
( 1| 3), 1.00000, 3.00000,  2.47029,  9.98356,   12,        1,
( 3|-4), 3.00000,-4.00000,  7.41087, -7.13112,   12,        1,
( 4|-3), 4.00000,-3.00000,  9.88116, -2.85245,   12,        1,
