# This file was automatically generated by ViPErLEED v0.1.0
# It contains the pattern file generated from:
# C:/Users/Michele-Win/Desktop/TEMP/input examples/Cu(111)-(3xr3)rect.tlm
#
# Structure: Cu(111)-(2r3x2r3)R30
#
# Max. LEED Energy: 1100.0 eV
# Bulk lattice: Hexagonal (p3); a = 8.8109 AA; alpha = 120.00 deg
#        Basis: a = [7.6305 4.4055]; b = [-7.6305  4.4055]
# Surface lattice: Hexagonal (p3m1); a = 2.5435 AA; alpha = 120.00 deg
#
# Exporting beams from 2 domain(s) out of 2 symmetry-equivalent ones
# Domain 1 - Basis: a = [7.6305 4.4055]; b = [-7.6305  4.4055]
#            Superlattice: [[ 4  2] [-2  2]]
# Domain 2 - Basis: a = [-7.6305  4.4055]; b = [7.6305 4.4055]
#            Superlattice: [[-2  2] [ 4  2]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(  h  |  k  ),   h    ,   k    ,   gx    ,   gy    ,group,domain(s),
(  0  |  0  ), 0.00000, 0.00000,  0.00000,  0.00000,    0,      1+2,
(  1/6|  1/6), 0.16667, 0.16667,  0.41172,  0.71311,    1,      1+2,
(  1/3| -1/6), 0.33333,-0.16667,  0.82343, -0.00000,    1,      1+2,
( -1/6|  1/3),-0.16667, 0.33333, -0.41172,  0.71311,    1,      1+2,
(  1/6| -1/3), 0.16667,-0.33333,  0.41172, -0.71311,    1,      1+2,
( -1/3|  1/6),-0.33333, 0.16667, -0.82343,  0.00000,    1,      1+2,
( -1/6| -1/6),-0.16667,-0.16667, -0.41172, -0.71311,    1,      1+2,
(  0  |  1/2), 0.00000, 0.50000,  0.00000,  1.42622,    2,      1+2,
(  1/2| -1/2), 0.50000,-0.50000,  1.23515, -0.71311,    2,      1+2,
( -1/2|  0  ),-0.50000, 0.00000, -1.23515, -0.71311,    2,      1+2,
(  1/2|  0  ), 0.50000, 0.00000,  1.23515,  0.71311,    3,      1+2,
( -1/2|  1/2),-0.50000, 0.50000, -1.23515,  0.71311,    3,      1+2,
(  0  | -1/2), 0.00000,-0.50000,  0.00000, -1.42622,    3,      1+2,
(  1/3|  1/3), 0.33333, 0.33333,  0.82343,  1.42622,    4,      1+2,
(  2/3| -1/3), 0.66667,-0.33333,  1.64686, -0.00000,    4,      1+2,
