# This file was automatically generated by TLEEDMAP v.0.1a.
# It contains the list of LEED beams generated from input file:
# E:/Work/Vienna/SPECSLab/Technical/Upgrades/Python LEED-IV/000-package/viperleed/guilib/leedsim/input examples/Ir(100)-(2x1)O.tlm
#
# Structure: Ir(001)-(2x1)O
#
# Max. LEED Energy: 694.0 eV
# Bulk lattice: Square (p4m); a = 2.7116 AA
#        Basis: a = [2.7116 0.0000]; b = [0.0000 2.7116]
# Surface lattice: Rectangular (pmm); a = 5.4232 AA; b = 2.7116 AA
#
# Exporting beams from 2 domain(s) out of 2 symmetry-equivalent ones
# Domain 1 - Basis: a = [5.4232 0.0000]; b = [0.0000 2.7116]
#            Superlattice: [[2 0] [0 1]]
# Domain 2 - Basis: a = [ 0.0000 -5.4232]; b = [-2.7116  0.0000]
#            Superlattice: [[ 0 -2] [-1  0]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(  h |  k ),    h   ,    k   ,    gx   ,    gy   ,group,domain(s),
( 0  | 0  ), 0.00000, 0.00000,  0.00000,  0.00000,    0,      1+2,
(-1/2| 0  ),-0.50000, 0.00000, -1.15858,  0.00000,    1,        1,
( 0  |-1/2), 0.00000,-0.50000,  0.00000, -1.15858,    1,        2,
( 0  | 1/2), 0.00000, 0.50000,  0.00000,  1.15858,    1,        2,
( 1/2| 0  ), 0.50000, 0.00000,  1.15858,  0.00000,    1,        1,
(-1  | 0  ),-1.00000, 0.00000, -2.31715,  0.00000,    2,      1+2,
( 0  |-1  ), 0.00000,-1.00000,  0.00000, -2.31715,    2,      1+2,
( 0  | 1  ), 0.00000, 1.00000,  0.00000,  2.31715,    2,      1+2,
( 1  | 0  ), 1.00000, 0.00000,  2.31715,  0.00000,    2,      1+2,
(-1  |-1/2),-1.00000,-0.50000, -2.31715, -1.15858,    3,        2,
(-1  | 1/2),-1.00000, 0.50000, -2.31715,  1.15858,    3,        2,
(-1/2|-1  ),-0.50000,-1.00000, -1.15858, -2.31715,    3,        1,
(-1/2| 1  ),-0.50000, 1.00000, -1.15858,  2.31715,    3,        1,
( 1  |-1/2), 1.00000,-0.50000,  2.31715, -1.15858,    3,        2,
( 1  | 1/2), 1.00000, 0.50000,  2.31715,  1.15858,    3,        2,
( 1/2|-1  ), 0.50000,-1.00000,  1.15858, -2.31715,    3,        1,
( 1/2| 1  ), 0.50000, 1.00000,  1.15858,  2.31715,    3,        1,
(-1  |-1  ),-1.00000,-1.00000, -2.31715, -2.31715,    4,      1+2,
(-1  | 1  ),-1.00000, 1.00000, -2.31715,  2.31715,    4,      1+2,
( 1  |-1  ), 1.00000,-1.00000,  2.31715, -2.31715,    4,      1+2,
( 1  | 1  ), 1.00000, 1.00000,  2.31715,  2.31715,    4,      1+2,
(-3/2| 0  ),-1.50000, 0.00000, -3.47573,  0.00000,    5,        1,
( 0  |-3/2), 0.00000,-1.50000,  0.00000, -3.47573,    5,        2,
( 0  | 3/2), 0.00000, 1.50000,  0.00000,  3.47573,    5,        2,
( 3/2| 0  ), 1.50000, 0.00000,  3.47573,  0.00000,    5,        1,
(-1  |-3/2),-1.00000,-1.50000, -2.31715, -3.47573,    6,        2,
(-1  | 3/2),-1.00000, 1.50000, -2.31715,  3.47573,    6,        2,
(-3/2|-1  ),-1.50000,-1.00000, -3.47573, -2.31715,    6,        1,
(-3/2| 1  ),-1.50000, 1.00000, -3.47573,  2.31715,    6,        1,
( 1  |-3/2), 1.00000,-1.50000,  2.31715, -3.47573,    6,        2,
( 1  | 3/2), 1.00000, 1.50000,  2.31715,  3.47573,    6,        2,
( 3/2|-1  ), 1.50000,-1.00000,  3.47573, -2.31715,    6,        1,
( 3/2| 1  ), 1.50000, 1.00000,  3.47573,  2.31715,    6,        1,
(-2  | 0  ),-2.00000, 0.00000, -4.63430,  0.00000,    7,      1+2,
( 0  |-2  ), 0.00000,-2.00000,  0.00000, -4.63430,    7,      1+2,
( 0  | 2  ), 0.00000, 2.00000,  0.00000,  4.63430,    7,      1+2,
( 2  | 0  ), 2.00000, 0.00000,  4.63430,  0.00000,    7,      1+2,
(-1/2|-2  ),-0.50000,-2.00000, -1.15858, -4.63430,    8,        1,
(-1/2| 2  ),-0.50000, 2.00000, -1.15858,  4.63430,    8,        1,
(-2  |-1/2),-2.00000,-0.50000, -4.63430, -1.15858,    8,        2,
(-2  | 1/2),-2.00000, 0.50000, -4.63430,  1.15858,    8,        2,
( 1/2|-2  ), 0.50000,-2.00000,  1.15858, -4.63430,    8,        1,
( 1/2| 2  ), 0.50000, 2.00000,  1.15858,  4.63430,    8,        1,
( 2  |-1/2), 2.00000,-0.50000,  4.63430, -1.15858,    8,        2,
( 2  | 1/2), 2.00000, 0.50000,  4.63430,  1.15858,    8,        2,
(-1  |-2  ),-1.00000,-2.00000, -2.31715, -4.63430,    9,      1+2,
(-1  | 2  ),-1.00000, 2.00000, -2.31715,  4.63430,    9,      1+2,
(-2  |-1  ),-2.00000,-1.00000, -4.63430, -2.31715,    9,      1+2,
(-2  | 1  ),-2.00000, 1.00000, -4.63430,  2.31715,    9,      1+2,
( 1  |-2  ), 1.00000,-2.00000,  2.31715, -4.63430,    9,      1+2,
( 1  | 2  ), 1.00000, 2.00000,  2.31715,  4.63430,    9,      1+2,
( 2  |-1  ), 2.00000,-1.00000,  4.63430, -2.31715,    9,      1+2,
( 2  | 1  ), 2.00000, 1.00000,  4.63430,  2.31715,    9,      1+2,
(-5/2| 0  ),-2.50000, 0.00000, -5.79288,  0.00000,   10,        1,
( 0  |-5/2), 0.00000,-2.50000,  0.00000, -5.79288,   10,        2,
( 0  | 5/2), 0.00000, 2.50000,  0.00000,  5.79288,   10,        2,
( 5/2| 0  ), 2.50000, 0.00000,  5.79288,  0.00000,   10,        1,
(-2  |-3/2),-2.00000,-1.50000, -4.63430, -3.47573,   11,        2,
(-2  | 3/2),-2.00000, 1.50000, -4.63430,  3.47573,   11,        2,
(-3/2|-2  ),-1.50000,-2.00000, -3.47573, -4.63430,   11,        1,
(-3/2| 2  ),-1.50000, 2.00000, -3.47573,  4.63430,   11,        1,
( 2  |-3/2), 2.00000,-1.50000,  4.63430, -3.47573,   11,        2,
( 2  | 3/2), 2.00000, 1.50000,  4.63430,  3.47573,   11,        2,
( 3/2|-2  ), 1.50000,-2.00000,  3.47573, -4.63430,   11,        1,
( 3/2| 2  ), 1.50000, 2.00000,  3.47573,  4.63430,   11,        1,
(-1  |-5/2),-1.00000,-2.50000, -2.31715, -5.79288,   12,        2,
(-1  | 5/2),-1.00000, 2.50000, -2.31715,  5.79288,   12,        2,
(-5/2|-1  ),-2.50000,-1.00000, -5.79288, -2.31715,   12,        1,
(-5/2| 1  ),-2.50000, 1.00000, -5.79288,  2.31715,   12,        1,
( 1  |-5/2), 1.00000,-2.50000,  2.31715, -5.79288,   12,        2,
( 1  | 5/2), 1.00000, 2.50000,  2.31715,  5.79288,   12,        2,
( 5/2|-1  ), 2.50000,-1.00000,  5.79288, -2.31715,   12,        1,
( 5/2| 1  ), 2.50000, 1.00000,  5.79288,  2.31715,   12,        1,
(-2  |-2  ),-2.00000,-2.00000, -4.63430, -4.63430,   13,      1+2,
(-2  | 2  ),-2.00000, 2.00000, -4.63430,  4.63430,   13,      1+2,
( 2  |-2  ), 2.00000,-2.00000,  4.63430, -4.63430,   13,      1+2,
( 2  | 2  ), 2.00000, 2.00000,  4.63430,  4.63430,   13,      1+2,
(-3  | 0  ),-3.00000, 0.00000, -6.95145,  0.00000,   14,      1+2,
( 0  |-3  ), 0.00000,-3.00000,  0.00000, -6.95145,   14,      1+2,
( 0  | 3  ), 0.00000, 3.00000,  0.00000,  6.95145,   14,      1+2,
( 3  | 0  ), 3.00000, 0.00000,  6.95145,  0.00000,   14,      1+2,
(-1/2|-3  ),-0.50000,-3.00000, -1.15858, -6.95145,   15,        1,
(-1/2| 3  ),-0.50000, 3.00000, -1.15858,  6.95145,   15,        1,
(-3  |-1/2),-3.00000,-0.50000, -6.95145, -1.15858,   15,        2,
(-3  | 1/2),-3.00000, 0.50000, -6.95145,  1.15858,   15,        2,
( 1/2|-3  ), 0.50000,-3.00000,  1.15858, -6.95145,   15,        1,
( 1/2| 3  ), 0.50000, 3.00000,  1.15858,  6.95145,   15,        1,
( 3  |-1/2), 3.00000,-0.50000,  6.95145, -1.15858,   15,        2,
( 3  | 1/2), 3.00000, 0.50000,  6.95145,  1.15858,   15,        2,
(-1  |-3  ),-1.00000,-3.00000, -2.31715, -6.95145,   16,      1+2,
(-1  | 3  ),-1.00000, 3.00000, -2.31715,  6.95145,   16,      1+2,
(-3  |-1  ),-3.00000,-1.00000, -6.95145, -2.31715,   16,      1+2,
(-3  | 1  ),-3.00000, 1.00000, -6.95145,  2.31715,   16,      1+2,
( 1  |-3  ), 1.00000,-3.00000,  2.31715, -6.95145,   16,      1+2,
( 1  | 3  ), 1.00000, 3.00000,  2.31715,  6.95145,   16,      1+2,
( 3  |-1  ), 3.00000,-1.00000,  6.95145, -2.31715,   16,      1+2,
