# This file was automatically generated by ViPErLEED v. 0.1a.
#
# Structure: Pt(111)-(10x10)Te
#
# Max. LEED Energy: 700.0 eV
# Bulk lattice: Hexagonal (p3m1); a = 2.7662 AA; alpha = 120.00 deg
#        Basis: a = [2.7662 0.0000]; b = [-1.3831  2.3956]
# Surface lattice: Hexagonal (p3m1); a = 27.6620 AA; alpha = 120.00 deg
#
# Exporting beams from 1 domain(s) out of 1 symmetry-equivalent ones
# Domain 1 - Basis: a = [27.6620  0.0000]; b = [-13.8310  23.9560]
#            Superlattice: [[10  0] [ 0 10]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(  h   |  k   ),   h    ,   k    ,   gx    ,   gy    ,group,domain(s),
(  0   |  0   ), 0.00000, 0.00000,  0.00000,  0.00000,    0,        1,
(  0   |  1/10), 0.00000, 0.10000,  0.00000,  0.26228,    1,        1,
(  1/10| -1/10), 0.10000,-0.10000,  0.22714, -0.13114,    1,        1,
( -1/10|  0   ),-0.10000, 0.00000, -0.22714, -0.13114,    1,        1,
(  1/10|  0   ), 0.10000, 0.00000,  0.22714,  0.13114,    2,        1,
( -1/10|  1/10),-0.10000, 0.10000, -0.22714,  0.13114,    2,        1,
(  0   | -1/10), 0.00000,-0.10000,  0.00000, -0.26228,    2,        1,
(  1/10|  1/10), 0.10000, 0.10000,  0.22714,  0.39342,    3,        1,
(  1/5 | -1/10), 0.20000,-0.10000,  0.45428, -0.00000,    3,        1,
( -1/10|  1/5 ),-0.10000, 0.20000, -0.22714,  0.39342,    3,        1,
(  1/10| -1/5 ), 0.10000,-0.20000,  0.22714, -0.39342,    3,        1,
( -1/5 |  1/10),-0.20000, 0.10000, -0.45428,  0.00000,    3,        1,
( -1/10| -1/10),-0.10000,-0.10000, -0.22714, -0.39342,    3,        1,
(  0   |  1/5 ), 0.00000, 0.20000,  0.00000,  0.52456,    4,        1,
(  1/5 | -1/5 ), 0.20000,-0.20000,  0.45428, -0.26228,    4,        1,
( -1/5 |  0   ),-0.20000, 0.00000, -0.45428, -0.26228,    4,        1,
(  1/5 |  0   ), 0.20000, 0.00000,  0.45428,  0.26228,    5,        1,
( -1/5 |  1/5 ),-0.20000, 0.20000, -0.45428,  0.26228,    5,        1,
(  0   | -1/5 ), 0.00000,-0.20000,  0.00000, -0.52456,    5,        1,
(  1/10|  1/5 ), 0.10000, 0.20000,  0.22714,  0.65570,    6,        1,
( -1/10|  3/10),-0.10000, 0.30000, -0.22714,  0.65570,    6,        1,
(  3/10| -1/5 ), 0.30000,-0.20000,  0.68142, -0.13114,    6,        1,
(  1/5 | -3/10), 0.20000,-0.30000,  0.45428, -0.52456,    6,        1,
( -3/10|  1/10),-0.30000, 0.10000, -0.68142, -0.13114,    6,        1,
( -1/5 | -1/10),-0.20000,-0.10000, -0.45428, -0.52456,    6,        1,
(  1/5 |  1/10), 0.20000, 0.10000,  0.45428,  0.52456,    7,        1,
(  3/10| -1/10), 0.30000,-0.10000,  0.68142,  0.13114,    7,        1,
( -1/5 |  3/10),-0.20000, 0.30000, -0.45428,  0.52456,    7,        1,
( -3/10|  1/5 ),-0.30000, 0.20000, -0.68142,  0.13114,    7,        1,
(  1/10| -3/10), 0.10000,-0.30000,  0.22714, -0.65570,    7,        1,
( -1/10| -1/5 ),-0.10000,-0.20000, -0.22714, -0.65570,    7,        1,
(  3/10|  0   ), 0.30000, 0.00000,  0.68142,  0.39342,    8,        1,
( -3/10|  3/10),-0.30000, 0.30000, -0.68142,  0.39342,    8,        1,
(  0   | -3/10), 0.00000,-0.30000,  0.00000, -0.78684,    8,        1,
(  0   |  3/10), 0.00000, 0.30000,  0.00000,  0.78684,    9,        1,
(  3/10| -3/10), 0.30000,-0.30000,  0.68142, -0.39342,    9,        1,
( -3/10|  0   ),-0.30000, 0.00000, -0.68142, -0.39342,    9,        1,
(  1/5 |  1/5 ), 0.20000, 0.20000,  0.45428,  0.78684,   10,        1,
(  2/5 | -1/5 ), 0.40000,-0.20000,  0.90857, -0.00000,   10,        1,
( -1/5 |  2/5 ),-0.20000, 0.40000, -0.45428,  0.78684,   10,        1,
(  1/5 | -2/5 ), 0.20000,-0.40000,  0.45428, -0.78684,   10,        1,
( -2/5 |  1/5 ),-0.40000, 0.20000, -0.90857,  0.00000,   10,        1,
( -1/5 | -1/5 ),-0.20000,-0.20000, -0.45428, -0.78684,   10,        1,
(  3/10|  1/10), 0.30000, 0.10000,  0.68142,  0.65570,   11,        1,
(  2/5 | -1/10), 0.40000,-0.10000,  0.90857,  0.26228,   11,        1,
( -3/10|  2/5 ),-0.30000, 0.40000, -0.68142,  0.65570,   11,        1,
( -2/5 |  3/10),-0.40000, 0.30000, -0.90857,  0.26228,   11,        1,
(  1/10| -2/5 ), 0.10000,-0.40000,  0.22714, -0.91798,   11,        1,
( -1/10| -3/10),-0.10000,-0.30000, -0.22714, -0.91798,   11,        1,
(  1/10|  3/10), 0.10000, 0.30000,  0.22714,  0.91798,   12,        1,
( -1/10|  2/5 ),-0.10000, 0.40000, -0.22714,  0.91798,   12,        1,
