# This file was automatically generated by TLEEDMAP v.0.1a.
# It contains the list of LEED beams generated from input file:
# E:/Work/Vienna/SPECSLab/Technical/Upgrades/Python LEED-IV/00 - GUI/input examples/Ag(111)-(r3xr3)R30.tlm
#
# Structure: Ag(111)-(r3xr3)R30
#
# Max. LEED Energy: 700.0 eV
# Bulk lattice: Hexagonal (p3); a = 2.8843 AA; alpha = 120.00 deg
#        Basis: a = [2.8843 0.0000]; b = [-1.4421  2.4979]
# Surface lattice: Hexagonal (p3); a = 4.9958 AA; alpha = 120.00 deg
#
# Exporting beams from 1 domain(s) out of 1 symmetry-equivalent ones
# Domain 1 - Basis: a = [4.3265 2.4979]; b = [-4.3264  2.4979]
#            Superlattice: [[ 2  1] [-1  1]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(  h |  k ),    h   ,    k   ,    gx   ,    gy   ,group,domain(s),
(-1/2|-1/2),-0.50000,-0.50000, -1.08920, -1.88656,    1,        1,
(-1/2| 1/2),-0.50000, 0.50000, -1.08920,  0.62885,    1,        1,
( 1/2|-1/2), 0.50000,-0.50000,  1.08920, -0.62885,    1,        1,
(-1  | 0  ),-1.00000, 0.00000, -2.17841, -1.25771,    2,        1,
( 0  | 1  ), 0.00000, 1.00000,  0.00000,  2.51541,    2,        1,
( 1  |-1  ), 1.00000,-1.00000,  2.17841, -1.25771,    2,        1,
(-1  | 1  ),-1.00000, 1.00000, -2.17841,  1.25771,    3,        1,
( 0  |-1  ), 0.00000,-1.00000,  0.00000, -2.51541,    3,        1,
( 1  | 0  ), 1.00000, 0.00000,  2.17841,  1.25771,    3,        1,
(-3/2| 1/2),-1.50000, 0.50000, -3.26761, -0.62885,    4,        1,
( 1/2|-3/2), 0.50000,-1.50000,  1.08920, -3.14426,    4,        1,
( 1/2| 1/2), 0.50000, 0.50000,  1.08920,  1.88656,    4,        1,
(-1/2| 3/2),-0.50000, 1.50000, -1.08920,  3.14426,    5,        1,
(-3/2|-1/2),-1.50000,-0.50000, -3.26761, -3.14426,    5,        1,
( 3/2|-3/2), 1.50000,-1.50000,  3.26761, -1.88656,    5,        1,
(-1  |-1  ),-1.00000,-1.00000, -2.17841, -3.77312,    6,        1,
(-1  | 2  ),-1.00000, 2.00000, -2.17841,  3.77312,    6,        1,
( 2  |-1  ), 2.00000,-1.00000,  4.35682, -0.00000,    6,        1,
(-2  | 1  ),-2.00000, 1.00000, -4.35682,  0.00000,    7,        1,
( 1  |-2  ), 1.00000,-2.00000,  2.17841, -3.77312,    7,        1,
( 1  | 1  ), 1.00000, 1.00000,  2.17841,  3.77312,    7,        1,
(-1/2|-3/2),-0.50000,-1.50000, -1.08920, -4.40197,    8,        1,
(-3/2| 3/2),-1.50000, 1.50000, -3.26761,  1.88656,    8,        1,
( 3/2|-1/2), 1.50000,-0.50000,  3.26761,  0.62885,    8,        1,
(-2  | 0  ),-2.00000, 0.00000, -4.35682, -2.51541,    9,        1,
( 0  | 2  ), 0.00000, 2.00000,  0.00000,  5.03082,    9,        1,
( 2  |-2  ), 2.00000,-2.00000,  4.35682, -2.51541,    9,        1,
(-2  | 2  ),-2.00000, 2.00000, -4.35682,  2.51541,   10,        1,
( 0  |-2  ), 0.00000,-2.00000,  0.00000, -5.03082,   10,        1,
( 2  | 0  ), 2.00000, 0.00000,  4.35682,  2.51541,   10,        1,
(-5/2| 3/2),-2.50000, 1.50000, -5.44602,  0.62885,   11,        1,
( 1/2|-5/2), 0.50000,-2.50000,  1.08920, -5.65967,   11,        1,
( 3/2| 1/2), 1.50000, 0.50000,  3.26761,  3.14426,   11,        1,
(-5/2| 1/2),-2.50000, 0.50000, -5.44602, -1.88656,   12,        1,
( 1/2| 3/2), 0.50000, 1.50000,  1.08920,  4.40197,   12,        1,
( 3/2|-5/2), 1.50000,-2.50000,  3.26761, -4.40197,   12,        1,
(-1/2| 5/2),-0.50000, 2.50000, -1.08920,  5.65967,   13,        1,
(-5/2|-1/2),-2.50000,-0.50000, -5.44602, -4.40197,   13,        1,
( 5/2|-5/2), 2.50000,-2.50000,  5.44602, -3.14426,   13,        1,
(-3/2|-3/2),-1.50000,-1.50000, -3.26761, -5.65967,   14,        1,
(-3/2| 5/2),-1.50000, 2.50000, -3.26761,  4.40197,   14,        1,
( 5/2|-3/2), 2.50000,-1.50000,  5.44602, -0.62885,   14,        1,
(-3  | 1  ),-3.00000, 1.00000, -6.53523, -1.25771,   15,        1,
( 1  | 2  ), 1.00000, 2.00000,  2.17841,  6.28853,   15,        1,
( 2  |-3  ), 2.00000,-3.00000,  4.35682, -5.03082,   15,        1,
(-1  |-2  ),-1.00000,-2.00000, -2.17841, -6.28853,   16,        1,
(-2  | 3  ),-2.00000, 3.00000, -4.35682,  5.03082,   16,        1,
( 3  |-1  ), 3.00000,-1.00000,  6.53523,  1.25771,   16,        1,
(-3  | 2  ),-3.00000, 2.00000, -6.53523,  1.25771,   17,        1,
( 1  |-3  ), 1.00000,-3.00000,  2.17841, -6.28853,   17,        1,
( 2  | 1  ), 2.00000, 1.00000,  4.35682,  5.03082,   17,        1,
(-1  | 3  ),-1.00000, 3.00000, -2.17841,  6.28853,   18,        1,
(-2  |-1  ),-2.00000,-1.00000, -4.35682, -5.03082,   18,        1,
( 3  |-2  ), 3.00000,-2.00000,  6.53523, -1.25771,   18,        1,
(-1/2|-5/2),-0.50000,-2.50000, -1.08920, -6.91738,   19,        1,
(-5/2| 5/2),-2.50000, 2.50000, -5.44602,  3.14426,   19,        1,
( 5/2|-1/2), 2.50000,-0.50000,  5.44602,  1.88656,   19,        1,
(-3  | 0  ),-3.00000, 0.00000, -6.53523, -3.77312,   20,        1,
( 0  | 3  ), 0.00000, 3.00000,  0.00000,  7.54623,   20,        1,
( 3  |-3  ), 3.00000,-3.00000,  6.53523, -3.77312,   20,        1,
(-3  | 3  ),-3.00000, 3.00000, -6.53523,  3.77312,   21,        1,
( 0  |-3  ), 0.00000,-3.00000,  0.00000, -7.54623,   21,        1,
( 3  | 0  ), 3.00000, 0.00000,  6.53523,  3.77312,   21,        1,
(-7/2| 3/2),-3.50000, 1.50000, -7.62443, -0.62885,   22,        1,
( 3/2|-7/2), 1.50000,-3.50000,  3.26761, -6.91738,   22,        1,
( 3/2| 3/2), 1.50000, 1.50000,  3.26761,  5.65967,   22,        1,
(-3/2| 7/2),-1.50000, 3.50000, -3.26761,  6.91738,   23,        1,
(-5/2|-3/2),-2.50000,-1.50000, -5.44602, -6.91738,   23,        1,
( 7/2|-5/2), 3.50000,-2.50000,  7.62443, -1.88656,   23,        1,
(-7/2| 5/2),-3.50000, 2.50000, -7.62443,  1.88656,   24,        1,
( 1/2|-7/2), 0.50000,-3.50000,  1.08920, -8.17508,   24,        1,
