# This file was automatically generated by TLEEDMAP v.0.1a.
# It contains the list of LEED beams generated from input file:
# E:/Work/Vienna/SPECSLab/Technical/Upgrades/Python LEED-IV/00 - GUI/leedTaS2.tlm
#
# Structure: TaS2-(r13xr13)R13.9° - all domains
#
# Max. LEED Energy: 700.0 eV
# Bulk lattice: Hexagonal (p6m); a = 3.3540 AA; alpha = 120.00 deg
#        Basis: a = [ 3.3540 -0.0000]; b = [-1.6770  2.9046]
# Surface lattice: Hexagonal (p3); a = 12.0930 AA; alpha = 120.00 deg
#
# Exporting beams from 2 domain(s) out of 2 symmetry-equivalent ones
# Domain 1 - Basis: a = [11.7390  2.9046]; b = [-8.3850  8.7139]
#            Superlattice: [[ 4  1] [-1  3]]
# Domain 2 - Basis: a = [11.7390 -2.9046]; b = [-8.3850 -8.7139]
#            Superlattice: [[ 3 -1] [-4 -3]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(   h  |   k  ),    h   ,    k   ,    gx   ,    gy   ,group,domain(s),
( -4/13|  1/13),-0.30769, 0.07692, -0.57641, -0.16640,    2,        2,																	  
( -4/13|  3/13),-0.30769, 0.23077, -0.57641,  0.16640,    1,        1,
(  1/13| -4/13), 0.07692,-0.30769,  0.14410, -0.58239,    1,        1,
(  1/13|  3/13), 0.07692, 0.23077,  0.14410,  0.58239,    2,        2,
(  3/13| -4/13), 0.23077,-0.30769,  0.43231, -0.41599,    2,        2,
(  3/13|  1/13), 0.23077, 0.07692,  0.43231,  0.41599,    1,        1,
( -1/13| -3/13),-0.07692,-0.23077, -0.14410, -0.58239,    4,        2,
( -1/13|  4/13),-0.07692, 0.30769, -0.14410,  0.58239,    3,        1,
( -3/13| -1/13),-0.23077,-0.07692, -0.43231, -0.41599,    3,        1,
( -3/13|  4/13),-0.23077, 0.30769, -0.43231,  0.41599,    4,        2,
(  4/13| -1/13), 0.30769,-0.07692,  0.57641,  0.16640,    4,        2,
(  4/13| -3/13), 0.30769,-0.23077,  0.57641, -0.16640,    3,        1,
( -7/13|  5/13),-0.53846, 0.38462, -1.00872,  0.24959,    5,        2,
(  2/13| -7/13), 0.15385,-0.53846,  0.28821, -0.99838,    5,        2,
(  5/13|  2/13), 0.38462, 0.15385,  0.72052,  0.74878,    5,        2,
( -7/13|  2/13),-0.53846, 0.15385, -1.00872, -0.24959,    6,        1,
(  2/13|  5/13), 0.15385, 0.38462,  0.28821,  0.99838,    6,        1,
(  5/13| -7/13), 0.38462,-0.53846,  0.72052, -0.74878,    6,        1,
( -2/13|  7/13),-0.15385, 0.53846, -0.28821,  0.99838,    7,        2,
( -5/13| -2/13),-0.38462,-0.15385, -0.72052, -0.74878,    7,        2,
(  7/13| -5/13), 0.53846,-0.38462,  1.00872, -0.24959,    7,        2,
( -2/13| -5/13),-0.15385,-0.38462, -0.28821, -0.99838,    8,        1,
( -5/13|  7/13),-0.38462, 0.53846, -0.72052,  0.74878,    8,        1,
(  7/13| -2/13), 0.53846,-0.15385,  1.00872,  0.24959,    8,        1,
( -8/13|  6/13),-0.61538, 0.46154, -1.15283,  0.33279,    9,        1,
(  2/13| -8/13), 0.15385,-0.61538,  0.28821, -1.16477,    9,        1,
(  6/13|  2/13), 0.46154, 0.15385,  0.86462,  0.83198,    9,        1,
( -8/13|  2/13),-0.61538, 0.15385, -1.15283, -0.33279,   10,        2,
(  2/13|  6/13), 0.15385, 0.46154,  0.28821,  1.16477,   10,        2,
(  6/13| -8/13), 0.46154,-0.61538,  0.86462, -0.83198,   10,        2,
( -2/13|  8/13),-0.15385, 0.61538, -0.28821,  1.16477,   11,        1,
( -6/13| -2/13),-0.46154,-0.15385, -0.86462, -0.83198,   11,        1,
(  8/13| -6/13), 0.61538,-0.46154,  1.15283, -0.33279,   11,        1,
( -2/13| -6/13),-0.15385,-0.46154, -0.28821, -1.16477,   12,        2,
( -6/13|  8/13),-0.46154, 0.61538, -0.86462,  0.83198,   12,        2,
(  8/13| -2/13), 0.61538,-0.15385,  1.15283,  0.33279,   12,        2,
(-11/13|  6/13),-0.84615, 0.46154, -1.58513,  0.08320,   13,        2,
(  5/13|-11/13), 0.38462,-0.84615,  0.72052, -1.41437,   13,        2,
(  6/13|  5/13), 0.46154, 0.38462,  0.86462,  1.33117,   13,        2,
(-10/13|  9/13),-0.76923, 0.69231, -1.44103,  0.66558,   14,        2,
(  1/13|-10/13), 0.07692,-0.76923,  0.14410, -1.58076,   14,        2,
(  9/13|  1/13), 0.69231, 0.07692,  1.29693,  0.91518,   14,        2,
(-11/13|  5/13),-0.84615, 0.38462, -1.58513, -0.08320,   15,        1,
(  5/13|  6/13), 0.38462, 0.46154,  0.72052,  1.41437,   15,        1,
(  6/13|-11/13), 0.46154,-0.84615,  0.86462, -1.33117,   15,        1,
(-10/13|  1/13),-0.76923, 0.07692, -1.44103, -0.66558,   16,        1,
(  1/13|  9/13), 0.07692, 0.69231,  0.14410,  1.58076,   16,        1,
(  9/13|-10/13), 0.69231,-0.76923,  1.29693, -0.91518,   16,        1,
( -5/13| 11/13),-0.38462, 0.84615, -0.72052,  1.41437,   17,        2,
( -6/13| -5/13),-0.46154,-0.38462, -0.86462, -1.33117,   17,        2,
( 11/13| -6/13), 0.84615,-0.46154,  1.58513, -0.08320,   17,        2,
( -1/13| 10/13),-0.07692, 0.76923, -0.14410,  1.58076,   18,        2,
( -9/13| -1/13),-0.69231,-0.07692, -1.29693, -0.91518,   18,        2,
( 10/13| -9/13), 0.76923,-0.69231,  1.44103, -0.66558,   18,        2,
( -5/13| -6/13),-0.38462,-0.46154, -0.72052, -1.41437,   19,        1,
( -6/13| 11/13),-0.46154, 0.84615, -0.86462,  1.33117,   19,        1,
( 11/13| -5/13), 0.84615,-0.38462,  1.58513,  0.08320,   19,        1,
( -1/13| -9/13),-0.07692,-0.69231, -0.14410, -1.58076,   20,        1,
( -9/13| 10/13),-0.69231, 0.76923, -1.29693,  0.91518,   20,        1,
( 10/13| -1/13), 0.76923,-0.07692,  1.44103,  0.66558,   20,        1,
(-12/13|  9/13),-0.92308, 0.69231, -1.72924,  0.49919,   21,        1,
