# This file was automatically generated by TLEEDMAP v.0.1a.
# It contains the list of LEED beams generated from input file:
# E:/Work/Vienna/SPECSLab/Technical/Upgrades/Python LEED-IV/00 - GUI/leedTaS2.tlm
#
# Structure: TaS2-(r13xr13)R13.9° - dom1
#
# Max. LEED Energy: 700.0 eV
# Bulk lattice: Hexagonal (p6m); a = 3.3540 AA; alpha = 120.00 deg
#        Basis: a = [ 3.3540 -0.0000]; b = [-1.6770  2.9046]
# Surface lattice: Hexagonal (p3); a = 12.0930 AA; alpha = 120.00 deg
#
# Exporting beams from 1 domain(s) out of 2 symmetry-equivalent ones
# Domain 1 - Basis: a = [11.7390  2.9046]; b = [-8.3850  8.7139]
#            Superlattice: [[ 4  1] [-1  3]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(   h  |   k  ),    h   ,    k   ,    gx   ,    gy   ,group,domain(s),
( -4/13|  3/13),-0.30769, 0.23077, -0.57641,  0.16640,    1,        1,
(  1/13| -4/13), 0.07692,-0.30769,  0.14410, -0.58239,    1,        1,
(  3/13|  1/13), 0.23077, 0.07692,  0.43231,  0.41599,    1,        1,
( -1/13|  4/13),-0.07692, 0.30769, -0.14410,  0.58239,    2,        1,
( -3/13| -1/13),-0.23077,-0.07692, -0.43231, -0.41599,    2,        1,
(  4/13| -3/13), 0.30769,-0.23077,  0.57641, -0.16640,    2,        1,
( -7/13|  2/13),-0.53846, 0.15385, -1.00872, -0.24959,    3,        1,
(  2/13|  5/13), 0.15385, 0.38462,  0.28821,  0.99838,    3,        1,
(  5/13| -7/13), 0.38462,-0.53846,  0.72052, -0.74878,    3,        1,
( -2/13| -5/13),-0.15385,-0.38462, -0.28821, -0.99838,    4,        1,
( -5/13|  7/13),-0.38462, 0.53846, -0.72052,  0.74878,    4,        1,
(  7/13| -2/13), 0.53846,-0.15385,  1.00872,  0.24959,    4,        1,
( -8/13|  6/13),-0.61538, 0.46154, -1.15283,  0.33279,    5,        1,
(  2/13| -8/13), 0.15385,-0.61538,  0.28821, -1.16477,    5,        1,
(  6/13|  2/13), 0.46154, 0.15385,  0.86462,  0.83198,    5,        1,
( -2/13|  8/13),-0.15385, 0.61538, -0.28821,  1.16477,    6,        1,
( -6/13| -2/13),-0.46154,-0.15385, -0.86462, -0.83198,    6,        1,
(  8/13| -6/13), 0.61538,-0.46154,  1.15283, -0.33279,    6,        1,
(-11/13|  5/13),-0.84615, 0.38462, -1.58513, -0.08320,    7,        1,
(  5/13|  6/13), 0.38462, 0.46154,  0.72052,  1.41437,    7,        1,
(  6/13|-11/13), 0.46154,-0.84615,  0.86462, -1.33117,    7,        1,
(-10/13|  1/13),-0.76923, 0.07692, -1.44103, -0.66558,    8,        1,
(  1/13|  9/13), 0.07692, 0.69231,  0.14410,  1.58076,    8,        1,
(  9/13|-10/13), 0.69231,-0.76923,  1.29693, -0.91518,    8,        1,
( -5/13| -6/13),-0.38462,-0.46154, -0.72052, -1.41437,    9,        1,
( -6/13| 11/13),-0.46154, 0.84615, -0.86462,  1.33117,    9,        1,
( 11/13| -5/13), 0.84615,-0.38462,  1.58513,  0.08320,    9,        1,
( -1/13| -9/13),-0.07692,-0.69231, -0.14410, -1.58076,   10,        1,
( -9/13| 10/13),-0.69231, 0.76923, -1.29693,  0.91518,   10,        1,
( 10/13| -1/13), 0.76923,-0.07692,  1.44103,  0.66558,   10,        1,
(-12/13|  9/13),-0.92308, 0.69231, -1.72924,  0.49919,   11,        1,
(  3/13|-12/13), 0.23077,-0.92308,  0.43231, -1.74716,   11,        1,
(  9/13|  3/13), 0.69231, 0.23077,  1.29693,  1.24797,   11,        1,
( -3/13| 12/13),-0.23077, 0.92308, -0.43231,  1.74716,   12,        1,
( -9/13| -3/13),-0.69231,-0.23077, -1.29693, -1.24797,   12,        1,
( 12/13| -9/13), 0.92308,-0.69231,  1.72924, -0.49919,   12,        1,
(-14/13|  4/13),-1.07692, 0.30769, -2.01744, -0.49919,   13,        1,
( 10/13|-14/13), 0.76923,-1.07692,  1.44103, -1.49756,   13,        1,
(  4/13| 10/13), 0.30769, 0.76923,  0.57641,  1.99675,   13,        1,
(-10/13| 14/13),-0.76923, 1.07692, -1.44103,  1.49756,   14,        1,
( -4/13|-10/13),-0.30769,-0.76923, -0.57641, -1.99675,   14,        1,
( 14/13| -4/13), 1.07692,-0.30769,  2.01744,  0.49919,   14,        1,
(-15/13|  8/13),-1.15385, 0.61538, -2.16155,  0.08320,   15,        1,
(  7/13|-15/13), 0.53846,-1.15385,  1.00872, -1.91355,   15,        1,
(  8/13|  7/13), 0.61538, 0.53846,  1.15283,  1.83036,   15,        1,
( -1   |  1   ),-1.00000, 1.00000, -1.87334,  1.08157,   16,        1,
(  0   | -1   ), 0.00000,-1.00000, -0.00000, -2.16315,   16,        1,
(  1   |  0   ), 1.00000, 0.00000,  1.87334,  1.08157,   16,        1,
( -1   |  0   ),-1.00000, 0.00000, -1.87334, -1.08157,   17,        1,
(  0   |  1   ), 0.00000, 1.00000,  0.00000,  2.16315,   17,        1,
(  1   | -1   ), 1.00000,-1.00000,  1.87334, -1.08157,   17,        1,
( -7/13| 15/13),-0.53846, 1.15385, -1.00872,  1.91355,   18,        1,
( -8/13| -7/13),-0.61538,-0.53846, -1.15283, -1.83036,   18,        1,
( 15/13| -8/13), 1.15385,-0.61538,  2.16155, -0.08320,   18,        1,
(-16/13| 12/13),-1.23077, 0.92308, -2.30565,  0.66558,   19,        1,
( 12/13|  4/13), 0.92308, 0.30769,  1.72924,  1.66396,   19,        1,
(  4/13|-16/13), 0.30769,-1.23077,  0.57641, -2.32954,   19,        1,
(-12/13| -4/13),-0.92308,-0.30769, -1.72924, -1.66396,   20,        1,
( -4/13| 16/13),-0.30769, 1.23077, -0.57641,  2.32954,   20,        1,
( 16/13|-12/13), 1.23077,-0.92308,  2.30565, -0.66558,   20,        1,
(-18/13|  7/13),-1.38462, 0.53846, -2.59386, -0.33279,   21,        1,
( 11/13|-18/13), 0.84615,-1.38462,  1.58513, -2.07995,   21,        1,
(  7/13| 11/13), 0.53846, 0.84615,  1.00872,  2.41274,   21,        1,
(-14/13| 17/13),-1.07692, 1.30769, -2.01744,  1.66396,   22,        1,
( -3/13|-14/13),-0.23077,-1.07692, -0.43231, -2.57914,   22,        1,
( 17/13| -3/13), 1.30769,-0.23077,  2.44975,  0.91518,   22,        1,
(-17/13|  3/13),-1.30769, 0.23077, -2.44975, -0.91518,   23,        1,
( 14/13|-17/13), 1.07692,-1.30769,  2.01744, -1.66396,   23,        1,
(  3/13| 14/13), 0.23077, 1.07692,  0.43231,  2.57914,   23,        1,
(-11/13| 18/13),-0.84615, 1.38462, -1.58513,  2.07995,   24,        1,
( -7/13|-11/13),-0.53846,-0.84615, -1.00872, -2.41274,   24,        1,
( 18/13| -7/13), 1.38462,-0.53846,  2.59386,  0.33279,   24,        1,
(-19/13| 11/13),-1.46154, 0.84615, -2.73796,  0.24959,   25,        1,
( 11/13|  8/13), 0.84615, 0.61538,  1.58513,  2.24635,   25,        1,
(  8/13|-19/13), 0.61538,-1.46154,  1.15283, -2.49594,   25,        1,
(-17/13| 16/13),-1.30769, 1.23077, -2.44975,  1.24797,   26,        1,
(  1/13|-17/13), 0.07692,-1.30769,  0.14410, -2.74553,   26,        1,
( 16/13|  1/13), 1.23077, 0.07692,  2.30565,  1.49756,   26,        1,
(-11/13| -8/13),-0.84615,-0.61538, -1.58513, -2.24635,   27,        1,
( -8/13| 19/13),-0.61538, 1.46154, -1.15283,  2.49594,   27,        1,
( 19/13|-11/13), 1.46154,-0.84615,  2.73796, -0.24959,   27,        1,
( -1/13| 17/13),-0.07692, 1.30769, -0.14410,  2.74553,   28,        1,
(-16/13| -1/13),-1.23077,-0.07692, -2.30565, -1.49756,   28,        1,
( 17/13|-16/13), 1.30769,-1.23077,  2.44975, -1.24797,   28,        1,
(-20/13| 15/13),-1.53846, 1.15385, -2.88206,  0.83198,   29,        1,
( 15/13|  5/13), 1.15385, 0.38462,  2.16155,  2.07995,   29,        1,
(  5/13|-20/13), 0.38462,-1.53846,  0.72052, -2.91193,   29,        1,
(-15/13| -5/13),-1.15385,-0.38462, -2.16155, -2.07995,   30,        1,
( -5/13| 20/13),-0.38462, 1.53846, -0.72052,  2.91193,   30,        1,
( 20/13|-15/13), 1.53846,-1.15385,  2.88206, -0.83198,   30,        1,
(-21/13|  6/13),-1.61538, 0.46154, -3.02617, -0.74878,   31,        1,
( 15/13|-21/13), 1.15385,-1.61538,  2.16155, -2.24635,   31,        1,
(  6/13| 15/13), 0.46154, 1.15385,  0.86462,  2.99513,   31,        1,
(-15/13| 21/13),-1.15385, 1.61538, -2.16155,  2.24635,   32,        1,
( -6/13|-15/13),-0.46154,-1.15385, -0.86462, -2.99513,   32,        1,
( 21/13| -6/13), 1.61538,-0.46154,  3.02617,  0.74878,   32,        1,
(-22/13| 10/13),-1.69231, 0.76923, -3.17027, -0.16640,   33,        1,
( 10/13| 12/13), 0.76923, 0.92308,  1.44103,  2.82873,   33,        1,
( 12/13|-22/13), 0.92308,-1.69231,  1.72924, -2.66234,   33,        1,
(-18/13| 20/13),-1.38462, 1.53846, -2.59386,  1.83036,   34,        1,
( -2/13|-18/13),-0.15385,-1.38462, -0.28821, -3.16152,   34,        1,
( 20/13| -2/13), 1.53846,-0.15385,  2.88206,  1.33117,   34,        1,
(-20/13|  2/13),-1.53846, 0.15385, -2.88206, -1.33117,   35,        1,
( 18/13|-20/13), 1.38462,-1.53846,  2.59386, -1.83036,   35,        1,
(  2/13| 18/13), 0.15385, 1.38462,  0.28821,  3.16152,   35,        1,
(-10/13|-12/13),-0.76923,-0.92308, -1.44103, -2.82873,   36,        1,
(-12/13| 22/13),-0.92308, 1.69231, -1.72924,  2.66234,   36,        1,
( 22/13|-10/13), 1.69231,-0.76923,  3.17027,  0.16640,   36,        1,
(-23/13| 14/13),-1.76923, 1.07692, -3.31437,  0.41599,   37,        1,
( 14/13|  9/13), 1.07692, 0.69231,  2.01744,  2.66234,   37,        1,
(  9/13|-23/13), 0.69231,-1.76923,  1.29693, -3.07833,   37,        1,
(-21/13| 19/13),-1.61538, 1.46154, -3.02617,  1.41437,   38,        1,
( 19/13|  2/13), 1.46154, 0.15385,  2.73796,  1.91355,   38,        1,
(  2/13|-21/13), 0.15385,-1.61538,  0.28821, -3.32792,   38,        1,
(-19/13| -2/13),-1.46154,-0.15385, -2.73796, -1.91355,   39,        1,
( -2/13| 21/13),-0.15385, 1.61538, -0.28821,  3.32792,   39,        1,
( 21/13|-19/13), 1.61538,-1.46154,  3.02617, -1.41437,   39,        1,
