# This file was automatically generated by TLEEDMAP v.0.1a.
# It contains the list of LEED beams generated from input file:
# E:/Work/Vienna/SPECSLab/Technical/Upgrades/Python LEED-IV/000-package/tleedmap/guilib/leedsim/input examples/Cu(111)-(r3x5)rect.tlm
#
# Structure: Cu(111)-(r3x5)rect
#
# Max. LEED Energy: 1100.0 eV
# Bulk lattice: Hexagonal (p3m1); a = 2.5435 AA; alpha = 120.00 deg
#        Basis: a = [2.5435 0.0000]; b = [-1.2717  2.2027]
# Surface lattice: Rectangular (pg[1 0]); a = 4.4055 AA; b = 12.7175 AA
#
# Exporting beams from 3 domain(s) out of 3 symmetry-equivalent ones
# Domain 1 - Basis: a = [0.0000 4.4055]; b = [12.7175  0.0000]
#            Superlattice: [[1 2] [5 0]]
# Domain 2 - Basis: a = [ 3.8152 -2.2027]; b = [ 6.3588 11.0137]
#            Superlattice: [[ 1 -1] [ 5  5]]
# Domain 3 - Basis: a = [-3.8153 -2.2027]; b = [  6.3587 -11.0137]
#            Superlattice: [[-2 -1] [ 0 -5]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(   h |   k ),    h   ,    k   ,    gx   ,    gy   ,group,domain(s),
(  0  |  0  ), 0.00000, 0.00000,  0.00000,  0.00000,    0,    1+2+3,
( -1/5|  1/9),-0.20000, 0.11111, -0.49406,  0.03169,    1,        1,
( -1/9| -1/9),-0.11111,-0.11111, -0.27448, -0.47541,    1,        2,
( -1/9|  1/5),-0.11111, 0.20000, -0.27448,  0.41202,    1,        3,
(  1/5| -1/9), 0.20000,-0.11111,  0.49406, -0.03169,    1,        1,
(  1/9| -1/5), 0.11111,-0.20000,  0.27448, -0.41202,    1,        3,
(  1/9|  1/9), 0.11111, 0.11111,  0.27448,  0.47541,    1,        2,
( -1/5| -1/5),-0.20000,-0.20000, -0.49406, -0.85573,    2,        2,
( -1/5|  2/5),-0.20000, 0.40000, -0.49406,  0.85573,    2,        3,
( -2/5|  1/5),-0.40000, 0.20000, -0.98812,  0.00000,    2,        1,
(  1/5| -2/5), 0.20000,-0.40000,  0.49406, -0.85573,    2,        3,
(  1/5|  1/5), 0.20000, 0.20000,  0.49406,  0.85573,    2,        2,
(  2/5| -1/5), 0.40000,-0.20000,  0.98812, -0.00000,    2,        1,
( -2/7| -2/7),-0.28571,-0.28571, -0.70580, -1.22248,    3,        2,
( -2/7|  3/5),-0.28571, 0.60000, -0.70580,  1.30398,    3,        3,
( -3/5|  2/7),-0.60000, 0.28571, -1.48217, -0.04075,    3,        1,
(  2/7| -3/5), 0.28571,-0.60000,  0.70580, -1.30398,    3,        3,
(  2/7|  2/7), 0.28571, 0.28571,  0.70580,  1.22248,    3,        2,
