# This file was automatically generated by ViPErLEED v0.1.0
# It contains the pattern file generated from:
# C:/Users/Michele-Win/Desktop/TEMP/input examples/Cu(111)-(3xr3)rect.tlm
#
# Structure: Cu(111)-[(6,0),(1,2)]
#
# Max. LEED Energy: 800.0 eV
# Bulk lattice: Rectangular (p1); a = 15.2610 AA; b = 4.4055 AA
#        Basis: a = [15.2610  0.0000]; b = [0.0000 4.4055]
# Surface lattice: Hexagonal (p3m1); a = 2.5435 AA; alpha = 120.00 deg
#
# Exporting beams from 6 domain(s) out of 6 symmetry-equivalent ones
# Domain 1 - Basis: a = [15.2610  0.0000]; b = [0.0000 4.4055]
#            Superlattice: [[6 0] [1 2]]
# Domain 2 - Basis: a = [-15.2610   0.0000]; b = [0.0000 4.4055]
#            Superlattice: [[-6  0] [ 1  2]]
# Domain 3 - Basis: a = [ 7.6305 13.2164]; b = [ 3.8152 -2.2027]
#            Superlattice: [[ 6  6] [ 1 -1]]
# Domain 4 - Basis: a = [  7.6305 -13.2164]; b = [-3.8153 -2.2027]
#            Superlattice: [[ 0 -6] [-2 -1]]
# Domain 5 - Basis: a = [-7.6305 13.2164]; b = [-3.8153 -2.2027]
#            Superlattice: [[ 0  6] [-2 -1]]
# Domain 6 - Basis: a = [ -7.6305 -13.2164]; b = [ 3.8152 -2.2027]
#            Superlattice: [[-6 -6] [ 1 -1]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(  h   |  k   ),   h    ,   k    ,   gx    ,   gy    ,group, domain(s) ,
(  0   |  0   ), 0.00000, 0.00000,  0.00000,  0.00000,    0,1+2+3+4+5+6,
(  1/12|  1/12), 0.08333, 0.08333,  0.20586,  0.35656,    1,        3+6,
(  1/6 | -1/12), 0.16667,-0.08333,  0.41172, -0.00000,    1,        1+2,
( -1/12|  1/6 ),-0.08333, 0.16667, -0.20586,  0.35656,    1,        4+5,
(  1/12| -1/6 ), 0.08333,-0.16667,  0.20586, -0.35656,    1,        4+5,
( -1/6 |  1/12),-0.16667, 0.08333, -0.41172,  0.00000,    1,        1+2,
( -1/12| -1/12),-0.08333,-0.08333, -0.20586, -0.35656,    1,        3+6,
(  1/6 |  1/6 ), 0.16667, 0.16667,  0.41172,  0.71311,    2,        3+6,
(  1/3 | -1/6 ), 0.33333,-0.16667,  0.82343, -0.00000,    2,        1+2,
( -1/6 |  1/3 ),-0.16667, 0.33333, -0.41172,  0.71311,    2,        4+5,
(  1/6 | -1/3 ), 0.16667,-0.33333,  0.41172, -0.71311,    2,        4+5,
( -1/3 |  1/6 ),-0.33333, 0.16667, -0.82343,  0.00000,    2,        1+2,
( -1/6 | -1/6 ),-0.16667,-0.16667, -0.41172, -0.71311,    2,        3+6,
(  1/4 |  1/4 ), 0.25000, 0.25000,  0.61757,  1.06967,    3,        3+6,
(  1/2 | -1/4 ), 0.50000,-0.25000,  1.23515, -0.00000,    3,        1+2,
( -1/4 |  1/2 ),-0.25000, 0.50000, -0.61757,  1.06967,    3,        4+5,
(  1/4 | -1/2 ), 0.25000,-0.50000,  0.61757, -1.06967,    3,        4+5,
( -1/2 |  1/4 ),-0.50000, 0.25000, -1.23515,  0.00000,    3,        1+2,
( -1/4 | -1/4 ),-0.25000,-0.25000, -0.61757, -1.06967,    3,        3+6,
(  1/2 |  0   ), 0.50000, 0.00000,  1.23515,  0.71311,    4,        4+5,
