# This file was automatically generated by ViPErLEED v. 0.1a.
# Structure: Ir(111)-(r3xr3)R30-Te -- bulk p3m1, surf p31m
#
# Max. LEED Energy: 1100.0 eV
# Bulk lattice: Hexagonal (p3m1); a = 2.7153 AA; alpha = 120.00 deg
#        Basis: a = [2.7153 0.0000]; b = [-1.3576  2.3515]
# Surface lattice: Hexagonal (p31m); a = 4.7030 AA; alpha = 120.00 deg
#
# Exporting beams from 1 domain(s) out of 1 symmetry-equivalent ones
# Domain 1 - Basis: a = [4.0729 2.3515]; b = [-4.0729  2.3515]
#            Superlattice: [[ 2  1] [-1  1]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(  h  |  k  ),   h    ,   k    ,   gx    ,   gy    ,group,domain(s),
(  0  |  0  ), 0.00000, 0.00000,  0.00000,  0.00000,    0,        1,
(  1/3|  1/3), 0.33333, 0.33333,  0.77133,  1.33598,    1,        1,
(  2/3| -1/3), 0.66667,-0.33333,  1.54266, -0.00000,    1,        1,
( -1/3|  2/3),-0.33333, 0.66667, -0.77133,  1.33598,    1,        1,
(  1/3| -2/3), 0.33333,-0.66667,  0.77133, -1.33598,    1,        1,
( -2/3|  1/3),-0.66667, 0.33333, -1.54266,  0.00000,    1,        1,
( -1/3| -1/3),-0.33333,-0.33333, -0.77133, -1.33598,    1,        1,
(  0  |  1  ), 0.00000, 1.00000,  0.00000,  2.67197,    2,        1,
(  1  | -1  ), 1.00000,-1.00000,  2.31399, -1.33598,    2,        1,
( -1  |  0  ),-1.00000, 0.00000, -2.31399, -1.33598,    2,        1,
(  1  |  0  ), 1.00000, 0.00000,  2.31399,  1.33598,    3,        1,
( -1  |  1  ),-1.00000, 1.00000, -2.31399,  1.33598,    3,        1,
(  0  | -1  ), 0.00000,-1.00000,  0.00000, -2.67197,    3,        1,
