# This file was automatically generated by TLEEDMAP v.0.1a.
# It contains the list of LEED beams generated from input file:
# E:/Work/Vienna/SPECSLab/Technical/Upgrades/Python LEED-IV/00 - GUI/input examples/Pt(111)-(1x1).tlm
#
# Structure: Pt(111)-(1x1)
#
# Max. LEED Energy: 700.0 eV
# Bulk lattice: Hexagonal (p3m1); a = 2.7662 AA; alpha = 120.00 deg
#        Basis: a = [2.7662 0.0000]; b = [-1.3831  2.3956]
# Surface lattice: Hexagonal (p3m1); a = 2.7662 AA; alpha = 120.00 deg
#
# Exporting beams from 1 domain(s) out of 1 symmetry-equivalent ones
# Domain 1 - Basis: a = [2.7662 0.0000]; b = [-1.3831  2.3956]
#            Superlattice: [[1 0] [0 1]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

( h| k),    h   ,    k   ,    gx   ,    gy   ,group,domain(s),
(-1| 0),-1.00000, 0.00000, -2.27141, -1.31140,    1,        1,
( 0| 1), 0.00000, 1.00000,  0.00000,  2.62280,    1,        1,
( 1|-1), 1.00000,-1.00000,  2.27141, -1.31140,    1,        1,
(-1| 1),-1.00000, 1.00000, -2.27141,  1.31140,    2,        1,
( 0|-1), 0.00000,-1.00000,  0.00000, -2.62280,    2,        1,
( 1| 0), 1.00000, 0.00000,  2.27141,  1.31140,    2,        1,
(-1|-1),-1.00000,-1.00000, -2.27141, -3.93420,    3,        1,
(-1| 2),-1.00000, 2.00000, -2.27141,  3.93420,    3,        1,
(-2| 1),-2.00000, 1.00000, -4.54283,  0.00000,    3,        1,
( 1|-2), 1.00000,-2.00000,  2.27141, -3.93420,    3,        1,
( 1| 1), 1.00000, 1.00000,  2.27141,  3.93420,    3,        1,
( 2|-1), 2.00000,-1.00000,  4.54283,  0.00000,    3,        1,
(-2| 0),-2.00000, 0.00000, -4.54283, -2.62280,    4,        1,
( 0| 2), 0.00000, 2.00000,  0.00000,  5.24561,    4,        1,
( 2|-2), 2.00000,-2.00000,  4.54283, -2.62280,    4,        1,
(-2| 2),-2.00000, 2.00000, -4.54283,  2.62280,    5,        1,
( 0|-2), 0.00000,-2.00000,  0.00000, -5.24561,    5,        1,
( 2| 0), 2.00000, 0.00000,  4.54283,  2.62280,    5,        1,
(-1|-2),-1.00000,-2.00000, -2.27141, -6.55701,    6,        1,
(-2| 3),-2.00000, 3.00000, -4.54283,  5.24561,    6,        1,
(-3| 2),-3.00000, 2.00000, -6.81424,  1.31140,    6,        1,
( 1|-3), 1.00000,-3.00000,  2.27141, -6.55701,    6,        1,
( 2| 1), 2.00000, 1.00000,  4.54283,  5.24561,    6,        1,
( 3|-1), 3.00000,-1.00000,  6.81424,  1.31140,    6,        1,
(-1| 3),-1.00000, 3.00000, -2.27141,  6.55701,    7,        1,
(-2|-1),-2.00000,-1.00000, -4.54283, -5.24561,    7,        1,
(-3| 1),-3.00000, 1.00000, -6.81424, -1.31140,    7,        1,
( 1| 2), 1.00000, 2.00000,  2.27141,  6.55701,    7,        1,
( 2|-3), 2.00000,-3.00000,  4.54283, -5.24561,    7,        1,
( 3|-2), 3.00000,-2.00000,  6.81424, -1.31140,    7,        1,
(-3| 0),-3.00000, 0.00000, -6.81424, -3.93420,    8,        1,
( 0| 3), 0.00000, 3.00000,  0.00000,  7.86841,    8,        1,
( 3|-3), 3.00000,-3.00000,  6.81424, -3.93420,    8,        1,
(-3| 3),-3.00000, 3.00000, -6.81424,  3.93420,    9,        1,
( 0|-3), 0.00000,-3.00000,  0.00000, -7.86841,    9,        1,
( 3| 0), 3.00000, 0.00000,  6.81424,  3.93420,    9,        1,
(-2|-2),-2.00000,-2.00000, -4.54283, -7.86841,   10,        1,
(-2| 4),-2.00000, 4.00000, -4.54283,  7.86841,   10,        1,
(-4| 2),-4.00000, 2.00000, -9.08566,  0.00000,   10,        1,
( 2|-4), 2.00000,-4.00000,  4.54283, -7.86841,   10,        1,
( 2| 2), 2.00000, 2.00000,  4.54283,  7.86841,   10,        1,
( 4|-2), 4.00000,-2.00000,  9.08566,  0.00000,   10,        1,
(-1|-3),-1.00000,-3.00000, -2.27141, -9.17981,   11,        1,
(-3| 4),-3.00000, 4.00000, -6.81424,  6.55701,   11,        1,
(-4| 3),-4.00000, 3.00000, -9.08566,  2.62280,   11,        1,
( 1|-4), 1.00000,-4.00000,  2.27141, -9.17981,   11,        1,
( 3| 1), 3.00000, 1.00000,  6.81424,  6.55701,   11,        1,
( 4|-1), 4.00000,-1.00000,  9.08566,  2.62280,   11,        1,
(-1| 4),-1.00000, 4.00000, -2.27141,  9.17981,   12,        1,
(-3|-1),-3.00000,-1.00000, -6.81424, -6.55701,   12,        1,
(-4| 1),-4.00000, 1.00000, -9.08566, -2.62280,   12,        1,
( 1| 3), 1.00000, 3.00000,  2.27141,  9.17981,   12,        1,
( 3|-4), 3.00000,-4.00000,  6.81424, -6.55701,   12,        1,
( 4|-3), 4.00000,-3.00000,  9.08566, -2.62280,   12,        1,
(-4| 0),-4.00000, 0.00000, -9.08566, -5.24561,   13,        1,
( 0| 4), 0.00000, 4.00000,  0.00000, 10.49121,   13,        1,
( 4|-4), 4.00000,-4.00000,  9.08566, -5.24561,   13,        1,
(-4| 4),-4.00000, 4.00000, -9.08566,  5.24561,   14,        1,
( 0|-4), 0.00000,-4.00000,  0.00000,-10.49121,   14,        1,
( 4| 0), 4.00000, 0.00000,  9.08566,  5.24561,   14,        1,
