# This file was automatically generated by ViPErLEED v0.1.0
# It contains the pattern file generated from:
# C:/Users/Michele-Win/Desktop/TEMP/input examples/Cu(111)-(3xr3)rect.tlm
#
# Structure: [(1,0),(2,4)] on p6m
#
# Max. LEED Energy: 800.0 eV
# Bulk lattice: Rectangular (p1); a = 4.4055 AA; b = 15.2611 AA
#        Basis: a = [4.4055 0.0000]; b = [ 0.0000 15.2611]
# Surface lattice: Hexagonal (p6m); a = 4.4055 AA; alpha = 120.00 deg
#
# Exporting beams from 12 domain(s) out of 12 symmetry-equivalent ones
# Domain 1 - Basis: a = [4.4055 0.0000]; b = [ 0.0000 15.2611]
#            Superlattice: [[1 0] [2 4]]
# Domain 2 - Basis: a = [4.4055 0.0000]; b = [ -0.0000 -15.2611]
#            Superlattice: [[ 1  0] [-2 -4]]
# Domain 3 - Basis: a = [-2.2028 -3.8153]; b = [-13.2165   7.6305]
#            Superlattice: [[-1 -1] [-2  2]]
# Domain 4 - Basis: a = [-4.4055  0.0000]; b = [ 0.0000 15.2611]
#            Superlattice: [[-1  0] [ 2  4]]
# Domain 5 - Basis: a = [2.2028 3.8153]; b = [13.2165 -7.6305]
#            Superlattice: [[ 1  1] [ 2 -2]]
# Domain 6 - Basis: a = [-2.2027  3.8153]; b = [13.2165  7.6305]
#            Superlattice: [[0 1] [4 2]]
# Domain 7 - Basis: a = [ 2.2027 -3.8153]; b = [-13.2165  -7.6305]
#            Superlattice: [[ 0 -1] [-4 -2]]
# Domain 8 - Basis: a = [2.2028 3.8153]; b = [-13.2165   7.6305]
#            Superlattice: [[ 1  1] [-2  2]]
# Domain 9 - Basis: a = [ 2.2027 -3.8153]; b = [13.2165  7.6305]
#            Superlattice: [[ 0 -1] [ 4  2]]
# Domain 10 - Basis: a = [-2.2027  3.8153]; b = [-13.2165  -7.6305]
#             Superlattice: [[ 0  1] [-4 -2]]
# Domain 11 - Basis: a = [-4.4055  0.0000]; b = [ -0.0000 -15.2611]
#             Superlattice: [[-1  0] [-2 -4]]
# Domain 12 - Basis: a = [-2.2028 -3.8153]; b = [13.2165 -7.6305]
#             Superlattice: [[-1 -1] [ 2 -2]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(  h  |  k  ),   h    ,   k    ,   gx    ,   gy    ,group,        domain(s)         ,
(  0  |  0  ), 0.00000, 0.00000,  0.00000,  0.00000,    0,1+2+3+4+5+6+7+8+9+10+11+12,
(  1/4|  0  ), 0.25000, 0.00000,  0.35655,  0.20586,    1,                  6+7+9+10,
(  0  |  1/4), 0.00000, 0.25000,  0.00000,  0.41171,    1,                  1+2+4+11,
(  1/4| -1/4), 0.25000,-0.25000,  0.35655, -0.20586,    1,                  3+5+8+12,
( -1/4|  1/4),-0.25000, 0.25000, -0.35655,  0.20586,    1,                  3+5+8+12,
(  0  | -1/4), 0.00000,-0.25000,  0.00000, -0.41171,    1,                  1+2+4+11,
( -1/4|  0  ),-0.25000, 0.00000, -0.35655, -0.20586,    1,                  6+7+9+10,
(  1/2|  0  ), 0.50000, 0.00000,  0.71311,  0.41171,    2,                  6+7+9+10,
(  0  |  1/2), 0.00000, 0.50000,  0.00000,  0.82342,    2,                  1+2+4+11,
(  1/2| -1/2), 0.50000,-0.50000,  0.71311, -0.41171,    2,                  3+5+8+12,
( -1/2|  1/2),-0.50000, 0.50000, -0.71311,  0.41171,    2,                  3+5+8+12,
(  0  | -1/2), 0.00000,-0.50000,  0.00000, -0.82342,    2,                  1+2+4+11,
( -1/2|  0  ),-0.50000, 0.00000, -0.71311, -0.41171,    2,                  6+7+9+10,
(  3/4|  0  ), 0.75000, 0.00000,  1.06966,  0.61757,    3,                  6+7+9+10,
(  0  |  3/4), 0.00000, 0.75000,  0.00000,  1.23514,    3,                  1+2+4+11,
(  3/4| -3/4), 0.75000,-0.75000,  1.06966, -0.61757,    3,                  3+5+8+12,
( -3/4|  3/4),-0.75000, 0.75000, -1.06966,  0.61757,    3,                  3+5+8+12,
(  0  | -3/4), 0.00000,-0.75000,  0.00000, -1.23514,    3,                  1+2+4+11,
( -3/4|  0  ),-0.75000, 0.00000, -1.06966, -0.61757,    3,                  6+7+9+10,
(  1/2|  1/2), 0.50000, 0.50000,  0.71311,  1.23514,    4,                  3+5+8+12,
(  1  | -1/2), 1.00000,-0.50000,  1.42621, -0.00000,    4,                  1+2+4+11,
( -1/2|  1  ),-0.50000, 1.00000, -0.71311,  1.23514,    4,                  6+7+9+10,
(  1/2| -1  ), 0.50000,-1.00000,  0.71311, -1.23514,    4,                  6+7+9+10,
( -1  |  1/2),-1.00000, 0.50000, -1.42621,  0.00000,    4,                  1+2+4+11,
( -1/2| -1/2),-0.50000,-0.50000, -0.71311, -1.23514,    4,                  3+5+8+12,
(  3/4|  1/4), 0.75000, 0.25000,  1.06966,  1.02928,    5,                  3+5+8+12,
(  1/4|  3/4), 0.25000, 0.75000,  0.35655,  1.44099,    5,                  3+5+8+12,
(  1  | -1/4), 1.00000,-0.25000,  1.42621,  0.41171,    5,                  1+2+4+11,
( -1/4|  1  ),-0.25000, 1.00000, -0.35655,  1.44099,    5,                  6+7+9+10,
(  1  | -3/4), 1.00000,-0.75000,  1.42621, -0.41171,    5,                  1+2+4+11,
( -3/4|  1  ),-0.75000, 1.00000, -1.06966,  1.02928,    5,                  6+7+9+10,
(  3/4| -1  ), 0.75000,-1.00000,  1.06966, -1.02928,    5,                  6+7+9+10,
( -1  |  3/4),-1.00000, 0.75000, -1.42621,  0.41171,    5,                  1+2+4+11,
(  1/4| -1  ), 0.25000,-1.00000,  0.35655, -1.44099,    5,                  6+7+9+10,
( -1  |  1/4),-1.00000, 0.25000, -1.42621, -0.41171,    5,                  1+2+4+11,
( -1/4| -3/4),-0.25000,-0.75000, -0.35655, -1.44099,    5,                  3+5+8+12,
( -3/4| -1/4),-0.75000,-0.25000, -1.06966, -1.02928,    5,                  3+5+8+12,
(  1  |  0  ), 1.00000, 0.00000,  1.42621,  0.82342,    6,1+2+3+4+5+6+7+8+9+10+11+12,
(  0  |  1  ), 0.00000, 1.00000,  0.00000,  1.64685,    6,1+2+3+4+5+6+7+8+9+10+11+12,
(  1  | -1  ), 1.00000,-1.00000,  1.42621, -0.82342,    6,1+2+3+4+5+6+7+8+9+10+11+12,
( -1  |  1  ),-1.00000, 1.00000, -1.42621,  0.82342,    6,1+2+3+4+5+6+7+8+9+10+11+12,
(  0  | -1  ), 0.00000,-1.00000,  0.00000, -1.64685,    6,1+2+3+4+5+6+7+8+9+10+11+12,
( -1  |  0  ),-1.00000, 0.00000, -1.42621, -0.82342,    6,1+2+3+4+5+6+7+8+9+10+11+12,
(  1  |  1/4), 1.00000, 0.25000,  1.42621,  1.23514,    7,                  1+2+4+11,
(  1/4|  1  ), 0.25000, 1.00000,  0.35655,  1.85271,    7,                  6+7+9+10,
(  5/4| -1/4), 1.25000,-0.25000,  1.78277,  0.61757,    7,                  3+5+8+12,
( -1/4|  5/4),-0.25000, 1.25000, -0.35655,  1.85271,    7,                  3+5+8+12,
(  5/4| -1  ), 1.25000,-1.00000,  1.78277, -0.61757,    7,                  6+7+9+10,
( -1  |  5/4),-1.00000, 1.25000, -1.42621,  1.23514,    7,                  1+2+4+11,
(  1  | -5/4), 1.00000,-1.25000,  1.42621, -1.23514,    7,                  1+2+4+11,
( -5/4|  1  ),-1.25000, 1.00000, -1.78277,  0.61757,    7,                  6+7+9+10,
(  1/4| -5/4), 0.25000,-1.25000,  0.35655, -1.85271,    7,                  3+5+8+12,
( -5/4|  1/4),-1.25000, 0.25000, -1.78277, -0.61757,    7,                  3+5+8+12,
( -1/4| -1  ),-0.25000,-1.00000, -0.35655, -1.85271,    7,                  6+7+9+10,
( -1  | -1/4),-1.00000,-0.25000, -1.42621, -1.23514,    7,                  1+2+4+11,
(  5/4|  0  ), 1.25000, 0.00000,  1.78277,  1.02928,    8,                  6+7+9+10,
(  0  |  5/4), 0.00000, 1.25000,  0.00000,  2.05856,    8,                  1+2+4+11,
(  5/4| -5/4), 1.25000,-1.25000,  1.78277, -1.02928,    8,                  3+5+8+12,
( -5/4|  5/4),-1.25000, 1.25000, -1.78277,  1.02928,    8,                  3+5+8+12,
(  0  | -5/4), 0.00000,-1.25000,  0.00000, -2.05856,    8,                  1+2+4+11,
( -5/4|  0  ),-1.25000, 0.00000, -1.78277, -1.02928,    8,                  6+7+9+10,
(  1  |  1/2), 1.00000, 0.50000,  1.42621,  1.64685,    9,                  1+2+4+11,
(  1/2|  1  ), 0.50000, 1.00000,  0.71311,  2.05856,    9,                  6+7+9+10,
(  3/2| -1/2), 1.50000,-0.50000,  2.13932,  0.41171,    9,                  3+5+8+12,
( -1/2|  3/2),-0.50000, 1.50000, -0.71311,  2.05856,    9,                  3+5+8+12,
(  3/2| -1  ), 1.50000,-1.00000,  2.13932, -0.41171,    9,                  6+7+9+10,
( -1  |  3/2),-1.00000, 1.50000, -1.42621,  1.64685,    9,                  1+2+4+11,
(  1  | -3/2), 1.00000,-1.50000,  1.42621, -1.64685,    9,                  1+2+4+11,
( -3/2|  1  ),-1.50000, 1.00000, -2.13932,  0.41171,    9,                  6+7+9+10,
(  1/2| -3/2), 0.50000,-1.50000,  0.71311, -2.05856,    9,                  3+5+8+12,
( -3/2|  1/2),-1.50000, 0.50000, -2.13932, -0.41171,    9,                  3+5+8+12,
( -1/2| -1  ),-0.50000,-1.00000, -0.71311, -2.05856,    9,                  6+7+9+10,
( -1  | -1/2),-1.00000,-0.50000, -1.42621, -1.64685,    9,                  1+2+4+11,
(  3/2|  0  ), 1.50000, 0.00000,  2.13932,  1.23514,   10,                  6+7+9+10,
(  0  |  3/2), 0.00000, 1.50000,  0.00000,  2.47027,   10,                  1+2+4+11,
(  3/2| -3/2), 1.50000,-1.50000,  2.13932, -1.23514,   10,                  3+5+8+12,
( -3/2|  3/2),-1.50000, 1.50000, -2.13932,  1.23514,   10,                  3+5+8+12,
(  0  | -3/2), 0.00000,-1.50000,  0.00000, -2.47027,   10,                  1+2+4+11,
( -3/2|  0  ),-1.50000, 0.00000, -2.13932, -1.23514,   10,                  6+7+9+10,
(  1  |  3/4), 1.00000, 0.75000,  1.42621,  2.05856,   11,                  1+2+4+11,
(  3/4|  1  ), 0.75000, 1.00000,  1.06966,  2.26442,   11,                  6+7+9+10,
(  7/4| -3/4), 1.75000,-0.75000,  2.49587,  0.20586,   11,                  3+5+8+12,
( -3/4|  7/4),-0.75000, 1.75000, -1.06966,  2.26442,   11,                  3+5+8+12,
