frame_time (ms)    exposure (ms)       time for 20 frames (s)
-------------------------------------------------------------
      31              100                  2.294994178
	1000              100                 20.112630548
	 100              100                  2.295323698
	 200              100                  4.113450502

################################   CONTINUOUS  ################################

exposure (ms) | size (px x px) | average frame time (ms) | extra time 1st (ms)
-------------------------------------------------------------------------------
     100      |  2048 x 1536   |   145.92464544444445    |  204.92092811111115
	 100      |  2000 x 1536   |   142.44445477777777    |  204.94560844444385
	 100      |  1808 x 1536   |   128.86215249999998    |  204.24535099999997
	 100      |  1696 x 1536   |   120.82804850000000    |  203.80379000000016
	 100      |  1536 x 1536   |   109.42135416666667    |  204.07853266666672
	 100      |  1408 x 1536   |   100.47429672222222    |  203.31164655555528
	 100      |  1312 x 1536   |   100.50634877777777    |  196.0274054444446
	 100      |  1200 x 1536   |   100.53772877777777    |  187.56241144444454
	 100      |  1104 x 1536   |   100.53056088888887    |  183.79000622222244
	 100      |   992 x 1536   |   100.52915577777782    |  183.61504344444427
	 100      |   896 x 1536   |   100.52107150000002    |  183.45857099999958
	 100      |   704 x 1536   |   100.51962572222223    |  183.27342655555566
	 100      |   528 x 1536   |   100.52300605555556    |  183.02144888888876
	 100      |   528 x 1400   |   100.53164016666663    |  175.50400566666693
	 100      |   528 x 1200   |   100.53045905555555    |  164.78832388888924
	 100      |   528 x 1000   |   100.52868744444443    |  153.97559011111107
	 100      |   528 x  700   |   100.53263794444445    |  137.55945211111123
	 100      |   528 x  500   |   100.52416677777778    |  127.07644244444455
	 100      |   528 x  300   |   100.52172316666669    |  116.39810766666633
	 100      |   528 x  100   |   100.53084600000001    |  105.50163899999998
	 100      |   528 x    4   |   100.52809688888888    |  100.74356222222222
	  20      |  2048 x 1536   |   149.96073733333336    |   85.73054533333288
      20      |  2000 x 1536   |   146.24449377777776    |   83.68463344444444
      20      |  1808 x 1536   |   132.69658533333333    |   76.24819533333311
      20      |  1696 x 1536   |   124.54573783333333    |   71.91469533333338
      20      |  1536 x 1536   |   113.23548461111115    |   63.85090277777726
      20      |  1408 x 1536   |   104.25116216666666    |   58.53608866666718
      20      |  1312 x 1536   |    98.5339475           |   55.08562800000004
      20      |  1200 x 1536   |    89.93618388888888    |   49.97086622222219
      20      |  1104 x 1536   |    82.61088994444444    |   46.16351711111111
      20      |   992 x 1536   |    75.74285672222226    |   40.58283855555533
      20      |   896 x 1536   |    67.87687311111114    |   40.91602477777746
      20      |   704 x 1536   |    52.81231716666666    |   39.33305466666661
      20      |   528 x 1536   |    38.85614244444444    |   39.36038211111111
      20      |   528 x 1400   |    35.41356305555555    |   38.89051588888888
      20      |   528 x 1200   |    29.34485527777779    |   39.75091144444445
      20      |   528 x 1000   |    24.48296549999999    |   39.59785999999991
      20      |   528 x  700   |    20.25248444444444    |   38.21131511111105
      20      |   528 x  500   |    20.35810955555554    |   38.06384188888910
      20      |   528 x  300   |    20.51136466666666    |   36.56020766666694
      20      |   528 x  100   |    20.52675944444443    |   25.59841211111114
      20      |   528 x    4   |    20.53665605555555    |   20.55406688888877
	   5      |  2048 x 1536   |   149.85262783333332    |   87.37774333333333
       5      |  2000 x 1536   |   146.39683255555553    |   84.36448588888888
       5      |  1808 x 1536   |   132.50971022222222    |   76.36756555555530
       5      |  1696 x 1536   |   124.65889738888889    |   70.21194622222222
       5      |  1536 x 1536   |   113.28325722222223    |   64.12006555555581
       5      |  1408 x 1536   |   104.16757027777778    |   58.93492744444438
       5      |  1312 x 1536   |    98.53854961111114    |   55.12883977777756
       5      |  1200 x 1536   |    90.13755777777777    |   47.41322044444428
       5      |  1104 x 1536   |    82.79595272222222    |   44.56327755555549
       5      |   992 x 1536   |    75.70522511111109    |   41.92303677777773
       5      |   896 x 1536   |    68.72525411111111    |   36.77113177777778
       5      |   704 x 1536   |    54.85403555555555    |   26.20593588888869
       5      |   528 x 1536   |    42.27041677777777    |   19.81796944444466
       5      |   528 x 1400   |    39.24811799999999    |   18.94079500000021
       5      |   528 x 1200   |    34.84334644444445    |   15.54780011111111
       5      |   528 x 1000   |    29.63468788888887    |   13.57674322222215
       5      |   528 x  700   |    22.47291227777777    |    8.82363444444416
       5      |   528 x  500   |    15.04217649999999    |    8.81084699999979
       5      |   528 x  300   |     7.39007000000000    |    8.75036700000024
       5      |   528 x  100   |     5.33965638888890    |    8.16019422222222
       5      |   528 x    4   |     5.49331883333334    |    5.64555533333329
	 300      |  2048 x 1536   |   300.52215488888885    |  448.59972322222166
     300      |  2000 x 1536   |   300.51083283333333    |  445.6002313333347
     300      |  1808 x 1536   |   300.50645461111105    |  431.5572477777778
     300      |  1696 x 1536   |   300.51510911111111    |  423.2678267777765
     300      |  1536 x 1536   |   300.53082972222222    |  411.4945905555551
     300      |  1408 x 1536   |   300.51844866666666    |  402.3246566666667
     300      |  1312 x 1536   |   300.50989605555554    |  395.2741048888893
     300      |  1200 x 1536   |   300.55333127777783    |  386.9103584444438
     300      |  1104 x 1536   |   300.51791927777776    |  383.7086984444441
     300      |   992 x 1536   |   300.53396561111111    |  383.4416527777776
     300      |   896 x 1536   |   300.53042238888884    |  383.0554402222224
     300      |   704 x 1536   |   300.52856933333333    |  382.9169273333346
     300      |   528 x 1536   |   300.51669744444445    |  382.8702951111118
     300      |   528 x 1400   |   300.51048661111111    |  375.6761417777779
     300      |   528 x 1200   |   300.52590172222222    |  364.6006785555546
     300      |   528 x 1000   |   300.51686033333334    |  354.0286413333324
     300      |   528 x  700   |   300.51912072222222    |  337.6323775555556
     300      |   528 x  500   |   300.51765455555557    |  326.9440228888888
     300      |   528 x  300   |   300.52074977777777    |  316.2388494444444
     300      |   528 x  100   |   300.51099566666666    |  305.7085566666656
     300      |   528 x    4   |   300.51806183333333    |  300.6958953333324
	2000      |  2048 x 1536   |  2000.4474048333332     | 2148.239986333341
    2000      |  2000 x 1536   |  2000.1861217222224     | 2149.599001555551
    2000      |  1808 x 1536   |  2000.2467232222225     | 2135.260014555548
    2000      |  1696 x 1536   |  2000.2223482777777     | 2127.125355444441
    2000      |  1536 x 1536   |  2000.2531377222222     | 2114.860140555555
    2000      |  1408 x 1536   |  2000.2666997777774     | 2105.317960444452
    2000      |  1312 x 1536   |  2000.2654576111115     | 2098.077948777769
    2000      |  1200 x 1536   |  2000.2845177777776     | 2089.601673444442
    2000      |  1104 x 1536   |  2000.3020913888888     | 2086.155856222222
    2000      |   992 x 1536   |  2000.3092593333333     | 2085.792940333326
    2000      |   896 x 1536   |  2000.3248781111115     | 2085.216654777774
    2000      |   704 x 1536   |  2000.3290729444443     | 2084.988707111115
    2000      |   528 x 1536   |  2000.3697997777776     | 2083.936284444448
    2000      |   528 x 1400   |  2000.3692703333336     | 2076.555194333334
    2000      |   528 x 1200   |  2000.3688834444442     | 2065.783309111117
    2000      |   528 x 1000   |  2000.3838912777776     | 2054.760343444439
    2000      |   528 x  700   |  2000.3880454444443     | 2038.264992111115
    2000      |   528 x  500   |  2000.4032161666664     | 2027.224472666669
    2000      |   528 x  300   |  2000.4032568888888     | 2016.512579222217
    2000      |   528 x  100   |  2000.4194254444446     | 2005.676060111109
    2000      |   528 x    4   |  2000.4249032222222     | 2000.681970555561


#############################   TRIGGERED BURST   #############################

exposure (ms) | size (px x px) | average frame time (ms) | extra time 1st (ms)
-------------------------------------------------------------------------------
     100      |  2048 x 1536   |   145.87931644444447    |  105.3668751111109
	 100      |  2000 x 1536   |   142.40130472222222    |  105.1844995555557
	 100      |  1808 x 1536   |   128.80375022222222    |  104.2068505555553
	 100      |  1696 x 1536   |   120.83210088888892    |  104.0996572222225
	 100      |  1536 x 1536   |   109.42493811111111    |  103.7338907777780
	 100      |  1408 x 1536   |   101.94942322222225    |  101.3588635555552
	 100      |  1312 x 1536   |   101.99245111111112    |   93.4002267777780
	 100      |  1200 x 1536   |   102.00362566666666    |   84.7530146666670
	 100      |  1104 x 1536   |   102.01335922222222    |   78.1582275555556
	 100      |   992 x 1536   |   101.99941044444444    |   70.3686081111111
	 100      |   896 x 1536   |   101.99851444444442    |   62.9527761111110
	 100      |   704 x 1536   |   101.99629488888888    |   49.0793632222226
	 100      |   528 x 1536   |   101.99409561111109    |   36.1849317777776
	 100      |   528 x 1400   |   101.98501361111113    |   32.7437127777773
	 100      |   528 x 1200   |   101.99222222222224    |   28.11165255555534
	 100      |   528 x 1000   |   101.99336255555552    |   22.952918888889144
	 100      |   528 x  700   |   101.99417711111113    |   15.453393777777592
	 100      |   528 x  500   |   101.98955466666668    |   10.509980666666934
	 100      |   528 x  300   |   101.98937138888891    |    5.350962222222279
	 100      |   528 x  100   |   102.00185405555557    |    0.245050888889409
	 100      |   528 x    4   |   101.99627449999997    |   -0.939068999999790
	  20      |  2048 x 1536   |   150.03049594444443    |   25.608526111111132
      20      |  2000 x 1536   |   146.76975577777777    |   25.536725444444073
      20      |  1808 x 1536   |   132.89129888235294    |   25.265964235294177
      20      |  1696 x 1536   |   124.86521588888893    |   23.59419822222162
      20      |  1536 x 1536   |   113.64865188888888    |   23.064469222222215
      20      |  1408 x 1536   |   105.02666605555557    |   22.42139888888869
      20      |  1312 x 1536   |    98.64548827777779    |   21.15965344444453
      20      |  1200 x 1536   |    90.05950455555558    |   21.745421888888814
      20      |  1104 x 1536   |    83.45512566666666    |   21.377621666666755
      20      |   992 x 1536   |    76.19091777777777    |   20.84866644444469
      20      |   896 x 1536   |    68.14952766666664    |   22.689623666666876
      20      |   704 x 1536   |    52.76673277777776    |   22.083980444444705
