# This file was automatically generated by TLEEDMAP v.0.1a.
# It contains the list of LEED beams generated from input file:
# E:/Work/Vienna/SPECSLab/Technical/Upgrades/Python LEED-IV/000-package/tleedmap/guilib/leedsim/input examples/Ag(111)-(r3xr3)R30.tlm
#
# Structure: Ag(111)-(r3xr3)R30
#
# Max. LEED Energy: 700.0 eV
# Bulk lattice: Hexagonal (p3); a = 2.8843 AA; alpha = 120.00 deg
#        Basis: a = [2.8843 0.0000]; b = [-1.4422  2.4979]
# Surface lattice: Hexagonal (p3); a = 4.9958 AA; alpha = 120.00 deg
#
# Exporting beams from 1 domain(s) out of 1 symmetry-equivalent ones
# Domain 1 - Basis: a = [4.3265 2.4979]; b = [-4.3265  2.4979]
#            Superlattice: [[ 2  1] [-1  1]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(   h |   k ),    h   ,    k   ,    gx   ,    gy   ,group,domain(s),
(  0  |  0  ), 0.00000, 0.00000,  0.00000,  0.00000,    0,        1,
( -2/3|  1/3),-0.66667, 0.33333, -1.45227,  0.00000,    1,        1,
(  1/3| -2/3), 0.33333,-0.66667,  0.72614, -1.25771,    1,        1,
(  1/3|  1/3), 0.33333, 0.33333,  0.72614,  1.25771,    1,        1,
( -1/3| -1/3),-0.33333,-0.33333, -0.72614, -1.25771,    2,        1,
( -1/3|  2/3),-0.33333, 0.66667, -0.72614,  1.25771,    2,        1,
(  2/3| -1/3), 0.66667,-0.33333,  1.45227,  0.00000,    2,        1,
( -1  |  0  ),-1.00000, 0.00000, -2.17841, -1.25771,    3,        1,
(  0  |  1  ), 0.00000, 1.00000,  0.00000,  2.51541,    3,        1,
(  1  | -1  ), 1.00000,-1.00000,  2.17841, -1.25771,    3,        1,
( -1  |  1  ),-1.00000, 1.00000, -2.17841,  1.25771,    4,        1,
(  0  | -1  ), 0.00000,-1.00000,  0.00000, -2.51541,    4,        1,
(  1  |  0  ), 1.00000, 0.00000,  2.17841,  1.25771,    4,        1,
( -4/3|  2/3),-1.33333, 0.66667, -2.90455,  0.00000,    5,        1,
(  2/3| -4/3), 0.66667,-1.33333,  1.45227, -2.51541,    5,        1,
(  2/3|  2/3), 0.66667, 0.66667,  1.45227,  2.51541,    5,        1,
( -2/3| -2/3),-0.66667,-0.66667, -1.45227, -2.51541,    6,        1,
( -2/3|  4/3),-0.66667, 1.33333, -1.45227,  2.51541,    6,        1,
