# This file was automatically generated by ViPErLEED v.0.1a.
# It contains the list of LEED beams generated from input file:
# E:/Work/Vienna/SPECSLab/Technical/Upgrades/Python LEED-IV/000-git/viperleed/guilib/leedsim/input examples/Fe2O3(012)-(1x1).tlm
#
# Structure: Fe2O3(012)-(1x1)
#
# Max. LEED Energy: 800.0 eV
# Bulk lattice: Rectangular (pg[0 1]); a = 5.0350 AA; b = 5.4266 AA
#        Basis: a = [5.0350 0.0000]; b = [0.0000 5.4266]
# Surface lattice: Rectangular (pg[0 1]); a = 5.0350 AA; b = 5.4266 AA
#
# Exporting beams from 1 domain(s) out of 1 symmetry-equivalent ones
# Domain 1 - Basis: a = [5.0350 0.0000]; b = [0.0000 5.4266]
#            Superlattice: [[1 0] [0 1]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(  h|  k),     h   ,     k   ,    gx   ,    gy   ,group,domain(s),
(  0|  0),  0.00000,  0.00000,  0.00000,  0.00000,    0,        1,
(  0| -1),  0.00000, -1.00000,  0.00000, -1.15785,   -1,      (1),
(  0|  1),  0.00000,  1.00000,  0.00000,  1.15785,   -2,      (1),
(  1|  0),  1.00000,  0.00000,  1.24790, -0.00000,    3,        1,
( -1|  0), -1.00000,  0.00000, -1.24790,  0.00000,    3,        1,
(  1| -1),  1.00000, -1.00000,  1.24790, -1.15785,    4,        1,
( -1| -1), -1.00000, -1.00000, -1.24790, -1.15785,    4,        1,
(  1|  1),  1.00000,  1.00000,  1.24790,  1.15785,    5,        1,
( -1|  1), -1.00000,  1.00000, -1.24790,  1.15785,    5,        1,
(  0| -2),  0.00000, -2.00000,  0.00000, -2.31570,    6,        1,
(  0|  2),  0.00000,  2.00000,  0.00000,  2.31570,    7,        1,
(  2|  0),  2.00000,  0.00000,  2.49580, -0.00000,    8,        1,
( -2|  0), -2.00000,  0.00000, -2.49580,  0.00000,    8,        1,
(  1| -2),  1.00000, -2.00000,  1.24790, -2.31570,    9,        1,
( -1| -2), -1.00000, -2.00000, -1.24790, -2.31570,    9,        1,
(  1|  2),  1.00000,  2.00000,  1.24790,  2.31570,   10,        1,
( -1|  2), -1.00000,  2.00000, -1.24790,  2.31570,   10,        1,
(  2|  1),  2.00000,  1.00000,  2.49580,  1.15785,   11,        1,
( -2|  1), -2.00000,  1.00000, -2.49580,  1.15785,   11,        1,
(  2| -1),  2.00000, -1.00000,  2.49580, -1.15785,   12,        1,
( -2| -1), -2.00000, -1.00000, -2.49580, -1.15785,   12,        1,
(  2| -2),  2.00000, -2.00000,  2.49580, -2.31570,   13,        1,
( -2| -2), -2.00000, -2.00000, -2.49580, -2.31570,   13,        1,
(  2|  2),  2.00000,  2.00000,  2.49580,  2.31570,   14,        1,
( -2|  2), -2.00000,  2.00000, -2.49580,  2.31570,   14,        1,
(  0| -3),  0.00000, -3.00000,  0.00000, -3.47355,  -15,      (1),
(  0|  3),  0.00000,  3.00000,  0.00000,  3.47355,  -16,      (1),
(  1| -3),  1.00000, -3.00000,  1.24790, -3.47355,   17,        1,
( -1| -3), -1.00000, -3.00000, -1.24790, -3.47355,   17,        1,
(  1|  3),  1.00000,  3.00000,  1.24790,  3.47355,   18,        1,
( -1|  3), -1.00000,  3.00000, -1.24790,  3.47355,   18,        1,
(  3|  0),  3.00000,  0.00000,  3.74371, -0.00000,   19,        1,
( -3|  0), -3.00000,  0.00000, -3.74371,  0.00000,   19,        1,
(  3|  1),  3.00000,  1.00000,  3.74371,  1.15785,   20,        1,
( -3|  1), -3.00000,  1.00000, -3.74371,  1.15785,   20,        1,
(  3| -1),  3.00000, -1.00000,  3.74371, -1.15785,   21,        1,
( -3| -1), -3.00000, -1.00000, -3.74371, -1.15785,   21,        1,
(  2| -3),  2.00000, -3.00000,  2.49580, -3.47355,   22,        1,
( -2| -3), -2.00000, -3.00000, -2.49580, -3.47355,   22,        1,
(  2|  3),  2.00000,  3.00000,  2.49580,  3.47355,   23,        1,
( -2|  3), -2.00000,  3.00000, -2.49580,  3.47355,   23,        1,
(  3|  2),  3.00000,  2.00000,  3.74371,  2.31570,   24,        1,
( -3|  2), -3.00000,  2.00000, -3.74371,  2.31570,   24,        1,
(  3| -2),  3.00000, -2.00000,  3.74371, -2.31570,   25,        1,
( -3| -2), -3.00000, -2.00000, -3.74371, -2.31570,   25,        1,
(  0| -4),  0.00000, -4.00000,  0.00000, -4.63140,   26,        1,
(  0|  4),  0.00000,  4.00000,  0.00000,  4.63140,   27,        1,
(  1| -4),  1.00000, -4.00000,  1.24790, -4.63140,   28,        1,
( -1| -4), -1.00000, -4.00000, -1.24790, -4.63140,   28,        1,
(  1|  4),  1.00000,  4.00000,  1.24790,  4.63140,   29,        1,
( -1|  4), -1.00000,  4.00000, -1.24790,  4.63140,   29,        1,
(  4|  0),  4.00000,  0.00000,  4.99161, -0.00000,   30,        1,
( -4|  0), -4.00000,  0.00000, -4.99161,  0.00000,   30,        1,
(  3|  3),  3.00000,  3.00000,  3.74371,  3.47355,   31,        1,
( -3|  3), -3.00000,  3.00000, -3.74371,  3.47355,   31,        1,
(  3| -3),  3.00000, -3.00000,  3.74371, -3.47355,   32,        1,
( -3| -3), -3.00000, -3.00000, -3.74371, -3.47355,   32,        1,
(  4| -1),  4.00000, -1.00000,  4.99161, -1.15785,   33,        1,
( -4| -1), -4.00000, -1.00000, -4.99161, -1.15785,   33,        1,
(  4|  1),  4.00000,  1.00000,  4.99161,  1.15785,   34,        1,
( -4|  1), -4.00000,  1.00000, -4.99161,  1.15785,   34,        1,
(  2| -4),  2.00000, -4.00000,  2.49580, -4.63140,   35,        1,
( -2| -4), -2.00000, -4.00000, -2.49580, -4.63140,   35,        1,
(  2|  4),  2.00000,  4.00000,  2.49580,  4.63140,   36,        1,
( -2|  4), -2.00000,  4.00000, -2.49580,  4.63140,   36,        1,
(  4|  2),  4.00000,  2.00000,  4.99161,  2.31570,   37,        1,
( -4|  2), -4.00000,  2.00000, -4.99161,  2.31570,   37,        1,
(  4| -2),  4.00000, -2.00000,  4.99161, -2.31570,   38,        1,
