# This file was automatically generated by ViPErLEED v.0.1a.
# It contains the list of LEED beams generated from input file:
# E:/Work/Vienna/SPECSLab/Technical/Upgrades/Python LEED-IV/000-package/viperleed/guilib/leedsim/input examples/Ag(110)-c(2x2).tlm
#
# Structure: Ag(110)-c(2x2)Te
#
# Max. LEED Energy: 700.0 eV
# Bulk lattice: Rectangular (pmm); a = 5.7840 AA; b = 4.0900 AA
#        Basis: a = [ 0.0000 -5.7840]; b = [4.0900 0.0000]
# Surface lattice: Rhombic (cmm); a = 7.0840 AA; alpha = 109.47 deg
#
# Exporting beams from 1 domain(s) out of 1 symmetry-equivalent ones
# Domain 1 - Basis: a = [ 4.0900 -5.7840]; b = [4.0900 5.7840]
#            Superlattice: [[ 1  1] [-1  1]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(   h |   k ),     h   ,     k   ,    gx   ,    gy   ,group,domain(s),
(  0  |  0  ),  0.00000,  0.00000,  0.00000,  0.00000,    0,        1,
(  1/2|  1/2),  0.50000,  0.50000,  0.76812, -0.54315,    1,        1,
(  1/2| -1/2),  0.50000, -0.50000, -0.76812, -0.54315,    1,        1,
( -1/2|  1/2), -0.50000,  0.50000,  0.76812,  0.54315,    1,        1,
( -1/2| -1/2), -0.50000, -0.50000, -0.76812,  0.54315,    1,        1,
(  1  |  0  ),  1.00000,  0.00000,  0.00000, -1.08630,    2,        1,
( -1  |  0  ), -1.00000,  0.00000,  0.00000,  1.08630,    2,        1,
(  0  |  1  ),  0.00000,  1.00000,  1.53623,  0.00000,    3,        1,
(  0  | -1  ),  0.00000, -1.00000, -1.53623, -0.00000,    3,        1,
(  3/2|  1/2),  1.50000,  0.50000,  0.76812, -1.62946,    4,        1,
(  3/2| -1/2),  1.50000, -0.50000, -0.76812, -1.62946,    4,        1,
( -3/2|  1/2), -1.50000,  0.50000,  0.76812,  1.62946,    4,        1,
( -3/2| -1/2), -1.50000, -0.50000, -0.76812,  1.62946,    4,        1,
(  1  |  1  ),  1.00000,  1.00000,  1.53623, -1.08630,    5,        1,
(  1  | -1  ),  1.00000, -1.00000, -1.53623, -1.08630,    5,        1,
( -1  |  1  ), -1.00000,  1.00000,  1.53623,  1.08630,    5,        1,
( -1  | -1  ), -1.00000, -1.00000, -1.53623,  1.08630,    5,        1,
(  2  |  0  ),  2.00000,  0.00000,  0.00000, -2.17261,    6,        1,
( -2  |  0  ), -2.00000,  0.00000,  0.00000,  2.17261,    6,        1,
(  1/2|  3/2),  0.50000,  1.50000,  2.30435, -0.54315,    7,        1,
( -1/2|  3/2), -0.50000,  1.50000,  2.30435,  0.54315,    7,        1,
(  1/2| -3/2),  0.50000, -1.50000, -2.30435, -0.54315,    7,        1,
( -1/2| -3/2), -0.50000, -1.50000, -2.30435,  0.54315,    7,        1,
(  2  |  1  ),  2.00000,  1.00000,  1.53623, -2.17261,    8,        1,
(  2  | -1  ),  2.00000, -1.00000, -1.53623, -2.17261,    8,        1,
( -2  |  1  ), -2.00000,  1.00000,  1.53623,  2.17261,    8,        1,
( -2  | -1  ), -2.00000, -1.00000, -1.53623,  2.17261,    8,        1,
(  3/2|  3/2),  1.50000,  1.50000,  2.30435, -1.62946,    9,        1,
(  3/2| -3/2),  1.50000, -1.50000, -2.30435, -1.62946,    9,        1,
( -3/2|  3/2), -1.50000,  1.50000,  2.30435,  1.62946,    9,        1,
( -3/2| -3/2), -1.50000, -1.50000, -2.30435,  1.62946,    9,        1,
(  5/2|  1/2),  2.50000,  0.50000,  0.76812, -2.71576,   10,        1,
(  5/2| -1/2),  2.50000, -0.50000, -0.76812, -2.71576,   10,        1,
( -5/2|  1/2), -2.50000,  0.50000,  0.76812,  2.71576,   10,        1,
( -5/2| -1/2), -2.50000, -0.50000, -0.76812,  2.71576,   10,        1,
(  0  |  2  ),  0.00000,  2.00000,  3.07246,  0.00000,   11,        1,
(  0  | -2  ),  0.00000, -2.00000, -3.07246, -0.00000,   11,        1,
(  1  |  2  ),  1.00000,  2.00000,  3.07246, -1.08630,   12,        1,
( -1  |  2  ), -1.00000,  2.00000,  3.07246,  1.08630,   12,        1,
(  1  | -2  ),  1.00000, -2.00000, -3.07246, -1.08630,   12,        1,
( -1  | -2  ), -1.00000, -2.00000, -3.07246,  1.08630,   12,        1,
(  3  |  0  ),  3.00000,  0.00000,  0.00000, -3.25891,   13,        1,
( -3  |  0  ), -3.00000,  0.00000,  0.00000,  3.25891,   13,        1,
(  5/2|  3/2),  2.50000,  1.50000,  2.30435, -2.71576,   14,        1,
(  5/2| -3/2),  2.50000, -1.50000, -2.30435, -2.71576,   14,        1,
( -5/2|  3/2), -2.50000,  1.50000,  2.30435,  2.71576,   14,        1,
( -5/2| -3/2), -2.50000, -1.50000, -2.30435,  2.71576,   14,        1,
(  3  |  1  ),  3.00000,  1.00000,  1.53623, -3.25891,   15,        1,
(  3  | -1  ),  3.00000, -1.00000, -1.53623, -3.25891,   15,        1,
( -3  |  1  ), -3.00000,  1.00000,  1.53623,  3.25891,   15,        1,
( -3  | -1  ), -3.00000, -1.00000, -1.53623,  3.25891,   15,        1,
(  2  |  2  ),  2.00000,  2.00000,  3.07246, -2.17261,   16,        1,
(  2  | -2  ),  2.00000, -2.00000, -3.07246, -2.17261,   16,        1,
( -2  |  2  ), -2.00000,  2.00000,  3.07246,  2.17261,   16,        1,
( -2  | -2  ), -2.00000, -2.00000, -3.07246,  2.17261,   16,        1,
(  1/2|  5/2),  0.50000,  2.50000,  3.84058, -0.54315,   17,        1,
( -1/2|  5/2), -0.50000,  2.50000,  3.84058,  0.54315,   17,        1,
(  1/2| -5/2),  0.50000, -2.50000, -3.84058, -0.54315,   17,        1,
( -1/2| -5/2), -0.50000, -2.50000, -3.84058,  0.54315,   17,        1,
(  7/2|  1/2),  3.50000,  0.50000,  0.76812, -3.80207,   18,        1,
(  7/2| -1/2),  3.50000, -0.50000, -0.76812, -3.80207,   18,        1,
( -7/2|  1/2), -3.50000,  0.50000,  0.76812,  3.80207,   18,        1,
( -7/2| -1/2), -3.50000, -0.50000, -0.76812,  3.80207,   18,        1,
(  3/2|  5/2),  1.50000,  2.50000,  3.84058, -1.62946,   19,        1,
( -3/2|  5/2), -1.50000,  2.50000,  3.84058,  1.62946,   19,        1,
(  3/2| -5/2),  1.50000, -2.50000, -3.84058, -1.62946,   19,        1,
( -3/2| -5/2), -1.50000, -2.50000, -3.84058,  1.62946,   19,        1,
(  4  |  0  ),  4.00000,  0.00000,  0.00000, -4.34522,   20,        1,
( -4  |  0  ), -4.00000,  0.00000,  0.00000,  4.34522,   20,        1,
(  7/2|  3/2),  3.50000,  1.50000,  2.30435, -3.80207,   21,        1,
(  7/2| -3/2),  3.50000, -1.50000, -2.30435, -3.80207,   21,        1,
( -7/2|  3/2), -3.50000,  1.50000,  2.30435,  3.80207,   21,        1,
