# This file was automatically generated by TLEEDMAP v.0.1a.
# It contains the list of LEED beams generated from input file:
# E:/Work/Vienna/SPECSLab/Technical/Upgrades/Python LEED-IV/000-package/tleedmap/guilib/leedsim/input examples/Cu(111)-(r3x5)rect.tlm
#
# Structure: Cu(111)-(r3x5)rect
#
# Max. LEED Energy: 1100.0 eV
# Bulk lattice: Hexagonal (p3m1); a = 2.5435 AA; alpha = 120.00 deg
#        Basis: a = [2.5435 0.0000]; b = [-1.2717  2.2027]
# Surface lattice: Rectangular (pg[1 0]); a = 4.4055 AA; b = 12.7175 AA
#
# Exporting beams from 3 domain(s) out of 3 symmetry-equivalent ones
# Domain 1 - Basis: a = [0.0000 4.4055]; b = [12.7175  0.0000]
#            Superlattice: [[1 2] [5 0]]
# Domain 2 - Basis: a = [ 3.8152 -2.2027]; b = [ 6.3587 11.0137]
#            Superlattice: [[ 1 -1] [ 5  5]]
# Domain 3 - Basis: a = [-3.8152 -2.2027]; b = [  6.3587 -11.0137]
#            Superlattice: [[-2 -1] [ 0 -5]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(   h  |   k  ),    h   ,    k   ,    gx   ,    gy   ,group,domain(s),
(  0   |  0   ), 0.00000, 0.00000,  0.00000,  0.00000,    0,    1+2+3,
( -1/10| -1/10),-0.10000,-0.10000, -0.24703, -0.42787,    1,        2,
( -1/10|  1/5 ),-0.10000, 0.20000, -0.24703,  0.42787,    1,        3,
( -1/5 |  1/10),-0.20000, 0.10000, -0.49406,  0.00000,    1,        1,
(  1/10| -1/5 ), 0.10000,-0.20000,  0.24703, -0.42787,    1,        3,
(  1/10|  1/10), 0.10000, 0.10000,  0.24703,  0.42787,    1,        2,
(  1/5 | -1/10), 0.20000,-0.10000,  0.49406,  0.00000,    1,        1,
( -1/5 | -1/5 ),-0.20000,-0.20000, -0.49406, -0.85573,    2,        2,
( -1/5 |  2/5 ),-0.20000, 0.40000, -0.49406,  0.85573,    2,        3,
( -2/5 |  1/5 ),-0.40000, 0.20000, -0.98812,  0.00000,    2,        1,
(  1/5 | -2/5 ), 0.20000,-0.40000,  0.49406, -0.85573,    2,        3,
(  1/5 |  1/5 ), 0.20000, 0.20000,  0.49406,  0.85573,    2,        2,
(  2/5 | -1/5 ), 0.40000,-0.20000,  0.98812,  0.00000,    2,        1,
( -1/2 |  0   ),-0.50000, 0.00000, -1.23515, -0.71311,   -3,      (3),
(  0   |  1/2 ), 0.00000, 0.50000,  0.00000,  1.42622,   -3,      (1),
(  1/2 | -1/2 ), 0.50000,-0.50000,  1.23515, -0.71311,   -3,      (2),
( -1/2 |  1/2 ),-0.50000, 0.50000, -1.23515,  0.71311,   -4,      (2),
(  0   | -1/2 ), 0.00000,-0.50000,  0.00000, -1.42622,   -4,      (1),
(  1/2 |  0   ), 0.50000, 0.00000,  1.23515,  0.71311,   -4,      (3),
( -3/10| -3/10),-0.30000,-0.30000, -0.74109, -1.28360,    5,        2,
( -3/10|  3/5 ),-0.30000, 0.60000, -0.74109,  1.28360,    5,        3,
( -3/5 |  3/10),-0.60000, 0.30000, -1.48217,  0.00000,    5,        1,
(  3/10| -3/5 ), 0.30000,-0.60000,  0.74109, -1.28360,    5,        3,
(  3/10|  3/10), 0.30000, 0.30000,  0.74109,  1.28360,    5,        2,
(  3/5 | -3/10), 0.60000,-0.30000,  1.48217,  0.00000,    5,        1,
( -1/5 | -2/5 ),-0.20000,-0.40000, -0.49406, -1.42622,    6,        1,
( -2/5 |  3/5 ),-0.40000, 0.60000, -0.98812,  1.14098,    6,        2,
( -3/5 |  2/5 ),-0.60000, 0.40000, -1.48217,  0.28524,    6,        2,
(  1/5 | -3/5 ), 0.20000,-0.60000,  0.49406, -1.42622,    6,        1,
(  2/5 |  1/5 ), 0.40000, 0.20000,  0.98812,  1.14098,    6,        3,
(  3/5 | -1/5 ), 0.60000,-0.20000,  1.48217,  0.28524,    6,        3,
( -1/5 |  3/5 ),-0.20000, 0.60000, -0.49406,  1.42622,    7,        1,
( -2/5 | -1/5 ),-0.40000,-0.20000, -0.98812, -1.14098,    7,        3,
( -3/5 |  1/5 ),-0.60000, 0.20000, -1.48217, -0.28524,    7,        3,
(  1/5 |  2/5 ), 0.20000, 0.40000,  0.49406,  1.42622,    7,        1,
(  2/5 | -3/5 ), 0.40000,-0.60000,  0.98812, -1.14098,    7,        2,
(  3/5 | -2/5 ), 0.60000,-0.40000,  1.48217, -0.28524,    7,        2,
( -2/5 |  7/10),-0.40000, 0.70000, -0.98812,  1.42622,    8,        1,
( -3/10| -2/5 ),-0.30000,-0.40000, -0.74109, -1.56885,    8,        3,
( -7/10|  2/5 ),-0.70000, 0.40000, -1.72920,  0.14262,    8,        3,
(  2/5 |  3/10), 0.40000, 0.30000,  0.98812,  1.42622,    8,        1,
(  3/10| -7/10), 0.30000,-0.70000,  0.74109, -1.56885,    8,        2,
(  7/10| -3/10), 0.70000,-0.30000,  1.72920,  0.14262,    8,        2,
( -2/5 | -3/10),-0.40000,-0.30000, -0.98812, -1.42622,    9,        1,
( -3/10|  7/10),-0.30000, 0.70000, -0.74109,  1.56885,    9,        2,
( -7/10|  3/10),-0.70000, 0.30000, -1.72920, -0.14262,    9,        2,
(  2/5 | -7/10), 0.40000,-0.70000,  0.98812, -1.42622,    9,        1,
(  3/10|  2/5 ), 0.30000, 0.40000,  0.74109,  1.56885,    9,        3,
(  7/10| -2/5 ), 0.70000,-0.40000,  1.72920, -0.14262,    9,        3,
( -2/5 | -2/5 ),-0.40000,-0.40000, -0.98812, -1.71147,   10,        2,
( -2/5 |  4/5 ),-0.40000, 0.80000, -0.98812,  1.71147,   10,        3,
( -4/5 |  2/5 ),-0.80000, 0.40000, -1.97623,  0.00000,   10,        1,
(  2/5 | -4/5 ), 0.40000,-0.80000,  0.98812, -1.71147,   10,        3,
(  2/5 |  2/5 ), 0.40000, 0.40000,  0.98812,  1.71147,   10,        2,
(  4/5 | -2/5 ), 0.80000,-0.40000,  1.97623,  0.00000,   10,        1,
( -1/5 | -3/5 ),-0.20000,-0.60000, -0.49406, -1.99671,   11,        3,
( -3/5 |  4/5 ),-0.60000, 0.80000, -1.48217,  1.42622,   11,        1,
( -4/5 |  3/5 ),-0.80000, 0.60000, -1.97623,  0.57049,   11,        3,
(  1/5 | -4/5 ), 0.20000,-0.80000,  0.49406, -1.99671,   11,        2,
(  3/5 |  1/5 ), 0.60000, 0.20000,  1.48217,  1.42622,   11,        1,
(  4/5 | -1/5 ), 0.80000,-0.20000,  1.97623,  0.57049,   11,        2,
( -1/5 |  4/5 ),-0.20000, 0.80000, -0.49406,  1.99671,   12,        2,
( -3/5 | -1/5 ),-0.60000,-0.20000, -1.48217, -1.42622,   12,        1,
( -4/5 |  1/5 ),-0.80000, 0.20000, -1.97623, -0.57049,   12,        2,
(  1/5 |  3/5 ), 0.20000, 0.60000,  0.49406,  1.99671,   12,        3,
(  3/5 | -4/5 ), 0.60000,-0.80000,  1.48217, -1.42622,   12,        1,
(  4/5 | -3/5 ), 0.80000,-0.60000,  1.97623, -0.57049,   12,        3,
( -1/10|  9/10),-0.10000, 0.90000, -0.24703,  2.42458,   13,        2,
( -4/5 | -1/10),-0.80000,-0.10000, -1.97623, -1.42622,   13,        1,
( -9/10|  1/10),-0.90000, 0.10000, -2.22326, -0.99836,   13,        2,
(  1/10|  4/5 ), 0.10000, 0.80000,  0.24703,  2.42458,   13,        3,
(  4/5 | -9/10), 0.80000,-0.90000,  1.97623, -1.42622,   13,        1,
(  9/10| -4/5 ), 0.90000,-0.80000,  2.22326, -0.99836,   13,        3,
( -1/10| -4/5 ),-0.10000,-0.80000, -0.24703, -2.42458,   14,        3,
