# This file was automatically generated by TLEEDMAP v.0.1a.
# It contains the list of LEED beams generated from input file:
# E:/Work/Vienna/SPECSLab/Technical/Upgrades/Python LEED-IV/000-package/viperleed/guilib/leedsim/input examples/Fe3O4(001)-(r2xr2)R45_noscrews.tlm
#
# Structure: Fe3O4(001)-c(2x2) - no bulk screws
#
# Max. LEED Energy: 503.0 eV
# Bulk lattice: Square (pmm); a = 5.9312 AA
#        Basis: a = [ 5.9312 -0.0000]; b = [0.0000 5.9312]
# Surface lattice: Square (cmm); a = 8.3880 AA
#
# Exporting beams from 1 domain(s) out of 1 symmetry-equivalent ones
# Domain 1 - Basis: a = [5.9312 5.9312]; b = [-5.9312  5.9312]
#            Superlattice: [[ 1  1] [-1  1]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(   h |   k ),    h   ,    k   ,    gx   ,    gy   ,group,domain(s),
(  0  |  0  ), 0.00000, 0.00000,  0.00000,  0.00000,    0,        1,
(  1/2|  1/2), 0.50000, 0.50000,  0.52967,  0.52967,    1,        1,
(  1/2| -1/2), 0.50000,-0.50000,  0.52967, -0.52967,    1,        1,
( -1/2|  1/2),-0.50000, 0.50000, -0.52967,  0.52967,    1,        1,
( -1/2| -1/2),-0.50000,-0.50000, -0.52967, -0.52967,    1,        1,
(  0  |  1  ), 0.00000, 1.00000,  0.00000,  1.05934,    2,        1,
(  0  | -1  ), 0.00000,-1.00000, -0.00000, -1.05934,    2,        1,
(  1  |  0  ), 1.00000, 0.00000,  1.05934, -0.00000,    3,        1,
( -1  |  0  ),-1.00000, 0.00000, -1.05934,  0.00000,    3,        1,
(  1  |  1  ), 1.00000, 1.00000,  1.05934,  1.05934,    4,        1,
(  1  | -1  ), 1.00000,-1.00000,  1.05934, -1.05934,    4,        1,
( -1  |  1  ),-1.00000, 1.00000, -1.05934,  1.05934,    4,        1,
( -1  | -1  ),-1.00000,-1.00000, -1.05934, -1.05934,    4,        1,
(  3/2|  1/2), 1.50000, 0.50000,  1.58901,  0.52967,    5,        1,
(  3/2| -1/2), 1.50000,-0.50000,  1.58901, -0.52967,    5,        1,
( -3/2|  1/2),-1.50000, 0.50000, -1.58901,  0.52967,    5,        1,
( -3/2| -1/2),-1.50000,-0.50000, -1.58901, -0.52967,    5,        1,
(  1/2|  3/2), 0.50000, 1.50000,  0.52967,  1.58901,    6,        1,
( -1/2|  3/2),-0.50000, 1.50000, -0.52967,  1.58901,    6,        1,
(  1/2| -3/2), 0.50000,-1.50000,  0.52967, -1.58901,    6,        1,
( -1/2| -3/2),-0.50000,-1.50000, -0.52967, -1.58901,    6,        1,
(  0  |  2  ), 0.00000, 2.00000,  0.00000,  2.11869,    7,        1,
(  0  | -2  ), 0.00000,-2.00000, -0.00000, -2.11869,    7,        1,
(  2  |  0  ), 2.00000, 0.00000,  2.11869, -0.00000,    8,        1,
( -2  |  0  ),-2.00000, 0.00000, -2.11869,  0.00000,    8,        1,
(  3/2|  3/2), 1.50000, 1.50000,  1.58901,  1.58901,    9,        1,
(  3/2| -3/2), 1.50000,-1.50000,  1.58901, -1.58901,    9,        1,
( -3/2|  3/2),-1.50000, 1.50000, -1.58901,  1.58901,    9,        1,
( -3/2| -3/2),-1.50000,-1.50000, -1.58901, -1.58901,    9,        1,
(  2  |  1  ), 2.00000, 1.00000,  2.11869,  1.05934,   10,        1,
(  2  | -1  ), 2.00000,-1.00000,  2.11869, -1.05934,   10,        1,
( -2  |  1  ),-2.00000, 1.00000, -2.11869,  1.05934,   10,        1,
( -2  | -1  ),-2.00000,-1.00000, -2.11869, -1.05934,   10,        1,
(  1  |  2  ), 1.00000, 2.00000,  1.05934,  2.11869,   11,        1,
( -1  |  2  ),-1.00000, 2.00000, -1.05934,  2.11869,   11,        1,
(  1  | -2  ), 1.00000,-2.00000,  1.05934, -2.11869,   11,        1,
( -1  | -2  ),-1.00000,-2.00000, -1.05934, -2.11869,   11,        1,
(  1/2|  5/2), 0.50000, 2.50000,  0.52967,  2.64836,   12,        1,
( -1/2|  5/2),-0.50000, 2.50000, -0.52967,  2.64836,   12,        1,
(  1/2| -5/2), 0.50000,-2.50000,  0.52967, -2.64836,   12,        1,
( -1/2| -5/2),-0.50000,-2.50000, -0.52967, -2.64836,   12,        1,
(  5/2|  1/2), 2.50000, 0.50000,  2.64836,  0.52967,   13,        1,
(  5/2| -1/2), 2.50000,-0.50000,  2.64836, -0.52967,   13,        1,
( -5/2|  1/2),-2.50000, 0.50000, -2.64836,  0.52967,   13,        1,
( -5/2| -1/2),-2.50000,-0.50000, -2.64836, -0.52967,   13,        1,
(  2  |  2  ), 2.00000, 2.00000,  2.11869,  2.11869,   14,        1,
(  2  | -2  ), 2.00000,-2.00000,  2.11869, -2.11869,   14,        1,
( -2  |  2  ),-2.00000, 2.00000, -2.11869,  2.11869,   14,        1,
( -2  | -2  ),-2.00000,-2.00000, -2.11869, -2.11869,   14,        1,
(  5/2|  3/2), 2.50000, 1.50000,  2.64836,  1.58901,   15,        1,
(  5/2| -3/2), 2.50000,-1.50000,  2.64836, -1.58901,   15,        1,
( -5/2|  3/2),-2.50000, 1.50000, -2.64836,  1.58901,   15,        1,
( -5/2| -3/2),-2.50000,-1.50000, -2.64836, -1.58901,   15,        1,
(  3/2|  5/2), 1.50000, 2.50000,  1.58901,  2.64836,   16,        1,
( -3/2|  5/2),-1.50000, 2.50000, -1.58901,  2.64836,   16,        1,
(  3/2| -5/2), 1.50000,-2.50000,  1.58901, -2.64836,   16,        1,
( -3/2| -5/2),-1.50000,-2.50000, -1.58901, -2.64836,   16,        1,
(  0  |  3  ), 0.00000, 3.00000,  0.00000,  3.17803,   17,        1,
(  0  | -3  ), 0.00000,-3.00000, -0.00000, -3.17803,   17,        1,
(  3  |  0  ), 3.00000, 0.00000,  3.17803, -0.00000,   18,        1,
( -3  |  0  ),-3.00000, 0.00000, -3.17803,  0.00000,   18,        1,
(  3  |  1  ), 3.00000, 1.00000,  3.17803,  1.05934,   19,        1,
(  3  | -1  ), 3.00000,-1.00000,  3.17803, -1.05934,   19,        1,
( -3  |  1  ),-3.00000, 1.00000, -3.17803,  1.05934,   19,        1,
( -3  | -1  ),-3.00000,-1.00000, -3.17803, -1.05934,   19,        1,
(  1  |  3  ), 1.00000, 3.00000,  1.05934,  3.17803,   20,        1,
( -1  |  3  ),-1.00000, 3.00000, -1.05934,  3.17803,   20,        1,
(  1  | -3  ), 1.00000,-3.00000,  1.05934, -3.17803,   20,        1,
( -1  | -3  ),-1.00000,-3.00000, -1.05934, -3.17803,   20,        1,
(  5/2|  5/2), 2.50000, 2.50000,  2.64836,  2.64836,   21,        1,
(  5/2| -5/2), 2.50000,-2.50000,  2.64836, -2.64836,   21,        1,
( -5/2|  5/2),-2.50000, 2.50000, -2.64836,  2.64836,   21,        1,
( -5/2| -5/2),-2.50000,-2.50000, -2.64836, -2.64836,   21,        1,
(  1/2|  7/2), 0.50000, 3.50000,  0.52967,  3.70770,   22,        1,
( -1/2|  7/2),-0.50000, 3.50000, -0.52967,  3.70770,   22,        1,
(  1/2| -7/2), 0.50000,-3.50000,  0.52967, -3.70770,   22,        1,
( -1/2| -7/2),-0.50000,-3.50000, -0.52967, -3.70770,   22,        1,
(  7/2|  1/2), 3.50000, 0.50000,  3.70770,  0.52967,   23,        1,
(  7/2| -1/2), 3.50000,-0.50000,  3.70770, -0.52967,   23,        1,
( -7/2|  1/2),-3.50000, 0.50000, -3.70770,  0.52967,   23,        1,
( -7/2| -1/2),-3.50000,-0.50000, -3.70770, -0.52967,   23,        1,
(  3  |  2  ), 3.00000, 2.00000,  3.17803,  2.11869,   24,        1,
(  3  | -2  ), 3.00000,-2.00000,  3.17803, -2.11869,   24,        1,
( -3  |  2  ),-3.00000, 2.00000, -3.17803,  2.11869,   24,        1,
( -3  | -2  ),-3.00000,-2.00000, -3.17803, -2.11869,   24,        1,
(  2  |  3  ), 2.00000, 3.00000,  2.11869,  3.17803,   25,        1,
( -2  |  3  ),-2.00000, 3.00000, -2.11869,  3.17803,   25,        1,
(  2  | -3  ), 2.00000,-3.00000,  2.11869, -3.17803,   25,        1,
( -2  | -3  ),-2.00000,-3.00000, -2.11869, -3.17803,   25,        1,
(  7/2|  3/2), 3.50000, 1.50000,  3.70770,  1.58901,   26,        1,
(  7/2| -3/2), 3.50000,-1.50000,  3.70770, -1.58901,   26,        1,
( -7/2|  3/2),-3.50000, 1.50000, -3.70770,  1.58901,   26,        1,
( -7/2| -3/2),-3.50000,-1.50000, -3.70770, -1.58901,   26,        1,
(  3/2|  7/2), 1.50000, 3.50000,  1.58901,  3.70770,   27,        1,
( -3/2|  7/2),-1.50000, 3.50000, -1.58901,  3.70770,   27,        1,
(  3/2| -7/2), 1.50000,-3.50000,  1.58901, -3.70770,   27,        1,
( -3/2| -7/2),-1.50000,-3.50000, -1.58901, -3.70770,   27,        1,
(  0  |  4  ), 0.00000, 4.00000,  0.00000,  4.23737,   28,        1,
(  0  | -4  ), 0.00000,-4.00000, -0.00000, -4.23737,   28,        1,
(  4  |  0  ), 4.00000, 0.00000,  4.23737, -0.00000,   29,        1,
( -4  |  0  ),-4.00000, 0.00000, -4.23737,  0.00000,   29,        1,
(  4  |  1  ), 4.00000, 1.00000,  4.23737,  1.05934,   30,        1,
(  4  | -1  ), 4.00000,-1.00000,  4.23737, -1.05934,   30,        1,
( -4  |  1  ),-4.00000, 1.00000, -4.23737,  1.05934,   30,        1,
( -4  | -1  ),-4.00000,-1.00000, -4.23737, -1.05934,   30,        1,
(  1  |  4  ), 1.00000, 4.00000,  1.05934,  4.23737,   31,        1,
( -1  |  4  ),-1.00000, 4.00000, -1.05934,  4.23737,   31,        1,
(  1  | -4  ), 1.00000,-4.00000,  1.05934, -4.23737,   31,        1,
( -1  | -4  ),-1.00000,-4.00000, -1.05934, -4.23737,   31,        1,
(  3  |  3  ), 3.00000, 3.00000,  3.17803,  3.17803,   32,        1,
(  3  | -3  ), 3.00000,-3.00000,  3.17803, -3.17803,   32,        1,
( -3  |  3  ),-3.00000, 3.00000, -3.17803,  3.17803,   32,        1,
( -3  | -3  ),-3.00000,-3.00000, -3.17803, -3.17803,   32,        1,
(  5/2|  7/2), 2.50000, 3.50000,  2.64836,  3.70770,   33,        1,
( -5/2|  7/2),-2.50000, 3.50000, -2.64836,  3.70770,   33,        1,
(  5/2| -7/2), 2.50000,-3.50000,  2.64836, -3.70770,   33,        1,
( -5/2| -7/2),-2.50000,-3.50000, -2.64836, -3.70770,   33,        1,
(  7/2|  5/2), 3.50000, 2.50000,  3.70770,  2.64836,   34,        1,
(  7/2| -5/2), 3.50000,-2.50000,  3.70770, -2.64836,   34,        1,
( -7/2|  5/2),-3.50000, 2.50000, -3.70770,  2.64836,   34,        1,
( -7/2| -5/2),-3.50000,-2.50000, -3.70770, -2.64836,   34,        1,
(  4  |  2  ), 4.00000, 2.00000,  4.23737,  2.11869,   35,        1,
(  4  | -2  ), 4.00000,-2.00000,  4.23737, -2.11869,   35,        1,
