# This file was automatically generated by TLEEDMAP v.0.1a.
# It contains the list of LEED beams generated from input file:
# E:/Work/Vienna/SPECSLab/Technical/Upgrades/Python LEED-IV/00 - GUI/input examples/LSMO(110)-(1x1).tlm
#
# Structure: LSMO(110)-(1x1)
#
# Max. LEED Energy: 700.0 eV
# Bulk lattice: Rectangular (pmm); a = 7.8100 AA; b = 5.5225 AA
#        Basis: a = [7.8100 0.0000]; b = [0.0000 5.5225]
# Surface lattice: Rectangular (pg[1 0]); a = 7.8100 AA; b = 5.5225 AA
#
# Exporting beams from 1 domain(s) out of 1 symmetry-equivalent ones
# Domain 1 - Basis: a = [7.8100 0.0000]; b = [0.0000 5.5225]
#            Superlattice: [[1 0] [0 1]]
#
# * h and k are the surface Miller indices of each LEED spot; both fractional
#   and floating-point versions are provided.
# * gx and gy are the horizontal and vertical components of reciprocal lattice
#   vectors in AA^(-1), and include a factor of 2*pi.
# * Beams with the same absolute value of "group" are symmetry equivalent (at
#   normal incidence); extinct spots have a negative "group" index.
# * The domains contributing to each spot are listed in "domain(s)". Domains
#   contributing with glide-extinct spots are reported in parentheses.

(  h|  k),     h   ,     k   ,    gx   ,    gy   ,group,domain(s),
( -1|  0), -1.00000,  0.00000, -0.80451,  0.00000,   -1,      (1),
(  1|  0),  1.00000,  0.00000,  0.80451,  0.00000,   -2,      (1),
(  0| -1),  0.00000, -1.00000,  0.00000, -1.13774,    3,        1,
(  0|  1),  0.00000,  1.00000,  0.00000,  1.13774,    3,        1,
( -1| -1), -1.00000, -1.00000, -0.80451, -1.13774,    4,        1,
( -1|  1), -1.00000,  1.00000, -0.80451,  1.13774,    4,        1,
(  1| -1),  1.00000, -1.00000,  0.80451, -1.13774,    5,        1,
(  1|  1),  1.00000,  1.00000,  0.80451,  1.13774,    5,        1,
( -2|  0), -2.00000,  0.00000, -1.60901,  0.00000,    6,        1,
(  2|  0),  2.00000,  0.00000,  1.60901,  0.00000,    7,        1,
( -2| -1), -2.00000, -1.00000, -1.60901, -1.13774,    8,        1,
( -2|  1), -2.00000,  1.00000, -1.60901,  1.13774,    8,        1,
(  2| -1),  2.00000, -1.00000,  1.60901, -1.13774,    9,        1,
(  2|  1),  2.00000,  1.00000,  1.60901,  1.13774,    9,        1,
(  0| -2),  0.00000, -2.00000,  0.00000, -2.27549,   10,        1,
