      E;     ( 1| 0);     ( 1| 1);     ( 1|-1);     ( 0| 2);     ( 0|-2);     ( 2| 0);     ( 1| 2);     ( 1|-2);     ( 2| 1);     ( 2|-1);     ( 2| 2);     ( 2|-2);     ( 1| 3);     ( 1|-3);     ( 3| 0);     ( 3| 1);     ( 3|-1);     ( 2| 3);     ( 2|-3);     ( 3| 2);     ( 3|-2);     ( 0| 4);     ( 0|-4);     ( 1| 4);     ( 1|-4);     ( 4| 0);     ( 3| 3);     ( 3|-3);     ( 4| 1);     ( 4|-1);     ( 2| 4);     ( 2|-4);     ( 4| 2);     ( 4|-2);     ( 1| 5);     ( 1|-5);     ( 3| 4);     ( 3|-4);     ( 4| 3);     ( 4|-3);     ( 5| 0);     ( 2| 5);     ( 2|-5);     ( 5| 1);     ( 5|-1);     ( 5| 2);     ( 5|-2);     ( 4| 4);     ( 4|-4);     ( 3| 5);     ( 3|-5);     ( 0| 6);     ( 0|-6);     ( 5| 3);     ( 5|-3);     ( 2| 6);     ( 2|-6)
  68.00; 3.62340E-03; 1.35710E-03; 1.20280E-03; 1.92430E-03; 2.16870E-03; 9.14690E-04; 2.22910E-03; 2.01380E-04; 4.94850E-04; 3.35360E-03; 4.99150E-04; 5.44610E-04; 6.85780E-04; 2.16850E-04; 2.39810E-04; 7.37360E-04; 2.27320E-03; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00
  71.00; 3.28940E-03; 8.67260E-04; 9.14490E-04; 2.40570E-03; 2.71190E-03; 7.74520E-04; 1.67620E-03; 3.88120E-04; 3.68200E-04; 3.36060E-03; 5.19750E-04; 5.30270E-04; 7.70340E-04; 2.34950E-04; 1.74040E-04; 8.63210E-04; 2.13320E-03; 2.13910E-05; 1.55680E-04; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00
  74.00; 2.35630E-03; 6.76650E-04; 6.71200E-04; 1.80250E-03; 3.13400E-03; 4.25410E-04; 1.21690E-03; 6.98170E-04; 3.12380E-04; 2.99620E-03; 4.62250E-04; 5.37110E-04; 6.92160E-04; 3.41020E-04; 2.17030E-04; 9.40210E-04; 1.94560E-03; 2.95770E-05; 2.67580E-04; 8.60780E-05; 2.90170E-05; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00
  77.00; 1.90520E-03; 5.37990E-04; 4.57700E-04; 1.18500E-03; 3.01370E-03; 2.27960E-04; 1.09630E-03; 1.04090E-03; 2.78210E-04; 2.56900E-03; 4.95510E-04; 5.49870E-04; 5.66420E-04; 4.75110E-04; 3.46020E-04; 8.55810E-04; 1.55870E-03; 6.43890E-05; 2.44080E-04; 3.13390E-04; 6.18800E-05; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00
  80.00; 1.81480E-03; 3.31260E-04; 3.14050E-04; 1.15630E-03; 2.63470E-03; 1.50270E-04; 1.56960E-03; 1.13850E-03; 2.28340E-04; 2.21580E-03; 7.96380E-04; 4.96200E-04; 5.17880E-04; 4.71940E-04; 4.25960E-04; 7.00760E-04; 1.32910E-03; 9.67670E-05; 2.09040E-04; 3.66170E-04; 7.02360E-05; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00
  83.00; 1.50870E-03; 1.03660E-04; 5.44840E-04; 1.26090E-03; 2.12930E-03; 2.43190E-04; 2.26120E-03; 1.02640E-03; 1.61860E-04; 1.97490E-03; 1.18320E-03; 3.18320E-04; 5.17420E-04; 3.26860E-04; 3.97600E-04; 4.97680E-04; 1.74300E-03; 1.12080E-04; 2.08050E-04; 3.07340E-04; 1.79520E-04; 1.00270E-03; 1.46170E-04; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00
  86.00; 1.16650E-03; 4.28340E-05; 1.42870E-03; 9.73040E-04; 1.08430E-03; 4.13220E-04; 2.57300E-03; 1.15430E-03; 1.41890E-04; 1.46020E-03; 8.30550E-04; 1.20930E-04; 6.12380E-04; 2.25650E-04; 3.26370E-04; 2.46090E-04; 2.45110E-03; 1.59070E-04; 2.89280E-04; 3.41830E-04; 2.72570E-04; 1.45870E-03; 2.27920E-04; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00
  89.00; 1.38830E-03; 3.41070E-04; 2.30250E-03; 4.37440E-04; 4.68510E-04; 6.92570E-04; 2.31260E-03; 1.26590E-03; 4.37860E-04; 1.02110E-03; 2.18500E-04; 5.54840E-05; 6.96230E-04; 2.95580E-04; 2.14110E-04; 1.15850E-04; 1.92600E-03; 3.06480E-04; 4.38230E-04; 4.38150E-04; 2.39670E-04; 1.51170E-03; 2.36360E-04; 9.74000E-05; 2.97060E-04; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00
  92.00; 1.88190E-03; 1.42380E-03; 2.52490E-03; 5.06070E-05; 4.99120E-04; 1.04340E-03; 1.81030E-03; 1.11000E-03; 8.39250E-04; 7.13630E-04; 3.55910E-05; 1.13770E-04; 7.36440E-04; 3.91040E-04; 8.97650E-05; 1.89180E-04; 1.08920E-03; 5.11220E-04; 3.95300E-04; 4.08040E-04; 2.11430E-04; 1.22720E-03; 1.41050E-04; 2.27280E-04; 3.22970E-04; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00
  95.00; 2.13300E-03; 3.00190E-03; 2.52890E-03; 1.23030E-04; 5.72810E-04; 1.10400E-03; 1.37720E-03; 6.91570E-04; 9.83480E-04; 4.58710E-04; 3.70040E-04; 1.87270E-04; 6.31690E-04; 5.20330E-04; 2.64360E-05; 1.76810E-04; 8.94740E-04; 6.00680E-04; 2.50040E-04; 4.02370E-04; 2.98610E-04; 1.02600E-03; 2.93180E-04; 3.52020E-04; 3.22470E-04; 2.25840E-05; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00
