      E;     ( 1| 0);     ( 1| 1);     ( 1|-1);     ( 0| 2);     ( 0|-2);     ( 2| 0);     ( 1| 2);     ( 1|-2);     ( 2| 1);     ( 2|-1);     ( 2| 2);     ( 2|-2);     ( 1| 3);     ( 1|-3);     ( 3| 0);     ( 3| 1);     ( 3|-1);     ( 2| 3);     ( 2|-3);     ( 3| 2);     ( 3|-2);     ( 0| 4);     ( 0|-4);     ( 1| 4);     ( 1|-4);     ( 4| 0);     ( 3| 3);     ( 3|-3);     ( 4| 1);     ( 4|-1);     ( 2| 4);     ( 2|-4);     ( 4| 2);     ( 4|-2);     ( 1| 5);     ( 1|-5);     ( 3| 4);     ( 3|-4);     ( 4| 3);     ( 4|-3);     ( 5| 0);     ( 2| 5);     ( 2|-5);     ( 5| 1);     ( 5|-1);     ( 5| 2);     ( 5|-2);     ( 4| 4);     ( 4|-4);     ( 3| 5);     ( 3|-5);     ( 0| 6);     ( 0|-6);     ( 5| 3);     ( 5|-3);     ( 2| 6);     ( 2|-6)
  68.00; 1.00000E+00; 2.58451E-01; 1.78961E-01; 2.86807E-01; 4.64400E-01; 2.54328E-01; 8.66343E-01; 6.28861E-02; 2.50202E-01; 9.97917E-01; 2.14688E-01; 2.33078E-01; 2.71413E-01; 1.85136E-01; 2.20191E-01; 4.97175E-01; 9.19691E-01; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00
  71.00; 9.07821E-01; 1.65164E-01; 1.36065E-01; 3.58557E-01; 5.80719E-01; 2.15354E-01; 6.51457E-01; 1.21200E-01; 1.86166E-01; 1.00000E+00; 2.23548E-01; 2.26941E-01; 3.04880E-01; 2.00589E-01; 1.59802E-01; 5.82031E-01; 8.63050E-01; 2.47132E-02; 1.30802E-01; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00
  74.00; 6.50301E-01; 1.28864E-01; 9.98661E-02; 2.68653E-01; 6.71106E-01; 1.18284E-01; 4.72950E-01; 2.18021E-01; 1.57943E-01; 8.91567E-01; 1.98817E-01; 2.29868E-01; 2.73938E-01; 2.91147E-01; 1.99275E-01; 6.33949E-01; 7.87151E-01; 3.41705E-02; 2.24819E-01; 9.46495E-02; 4.60332E-02; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00
  77.00; 5.25804E-01; 1.02457E-01; 6.81000E-02; 1.76618E-01; 6.45346E-01; 6.33838E-02; 4.26079E-01; 3.25048E-01; 1.40666E-01; 7.64447E-01; 2.13123E-01; 2.35329E-01; 2.24174E-01; 4.05626E-01; 3.17712E-01; 5.77041E-01; 6.30619E-01; 7.43891E-02; 2.05075E-01; 3.44597E-01; 9.81677E-02; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00
  80.00; 5.00856E-01; 6.30863E-02; 4.67267E-02; 1.72340E-01; 5.64188E-01; 4.17823E-02; 6.10027E-01; 3.55526E-01; 1.15452E-01; 6.59347E-01; 3.42529E-01; 2.12360E-01; 2.04963E-01; 4.02920E-01; 3.91112E-01; 4.72497E-01; 5.37727E-01; 1.11796E-01; 1.75634E-01; 4.02632E-01; 1.11424E-01; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00
  83.00; 4.16377E-01; 1.97414E-02; 8.10653E-02; 1.87930E-01; 4.55963E-01; 6.76185E-02; 8.78818E-01; 3.20520E-01; 8.18384E-02; 5.87663E-01; 5.08903E-01; 1.36232E-01; 2.04781E-01; 2.79057E-01; 3.65072E-01; 3.35567E-01; 7.05183E-01; 1.29487E-01; 1.74803E-01; 3.37944E-01; 2.84794E-01; 6.63293E-01; 1.43206E-01; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00
  86.00; 3.21935E-01; 8.15746E-03; 2.12573E-01; 1.45026E-01; 2.32189E-01; 1.14895E-01; 1.00000E+00; 3.60460E-01; 7.17413E-02; 4.34506E-01; 3.57226E-01; 5.17547E-02; 2.42364E-01; 1.92649E-01; 2.99669E-01; 1.65929E-01; 9.91666E-01; 1.83775E-01; 2.43052E-01; 3.75869E-01; 4.32411E-01; 9.64940E-01; 2.23298E-01; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00
  89.00; 3.83148E-01; 6.49546E-02; 3.42583E-01; 6.51981E-02; 1.00325E-01; 1.92568E-01; 8.98795E-01; 3.95310E-01; 2.21387E-01; 3.03845E-01; 9.39785E-02; 2.37456E-02; 2.75549E-01; 2.52352E-01; 1.96594E-01; 7.81134E-02; 7.79221E-01; 3.54079E-01; 3.68199E-01; 4.81780E-01; 3.80217E-01; 1.00000E+00; 2.31567E-01; 2.56343E-01; 5.46528E-01; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00
  92.00; 5.19374E-01; 2.71154E-01; 3.75673E-01; 7.54270E-03; 1.06880E-01; 2.90115E-01; 7.03576E-01; 3.46626E-01; 4.24335E-01; 2.12352E-01; 1.53080E-02; 4.86904E-02; 2.91463E-01; 3.33851E-01; 8.24213E-02; 1.27557E-01; 4.40668E-01; 5.90617E-01; 3.32129E-01; 4.48672E-01; 3.35417E-01; 8.11801E-01; 1.38189E-01; 5.98168E-01; 5.94197E-01; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00
  95.00; 5.88674E-01; 5.71692E-01; 3.76268E-01; 1.83370E-02; 1.22660E-01; 3.06965E-01; 5.35251E-01; 2.15960E-01; 4.97260E-01; 1.36496E-01; 1.59157E-01; 8.01464E-02; 2.50006E-01; 4.44233E-01; 2.42733E-02; 1.19217E-01; 3.61994E-01; 6.93970E-01; 2.10082E-01; 4.42437E-01; 4.73721E-01; 6.78706E-01; 2.87234E-01; 9.26466E-01; 5.93277E-01; 1.63700E-02; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00; 0.00000E+00
